"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"MED","M3","MED_3868_V37_M","Center City Philadelphia","3868","3868","300005","0","1"
"WAR","M3","WAR_475_V37_M","Center City Philadelphia","475","475","417005","1","1"
"LAN","M1","LAN_6533_V55_M","Gray 30th Street","6533","6533","538004","1","1"
"PAO","M3","PAO_574_V37_M","Center City Philadelphia","574","574","505005","0","1"
"MED","M1","MED_8337_V55_M","Wawa","8337","8337","005300","1","1"
"MED","M1","MED_2329_V50_M","Wawa","2329","2329","005300","1","1"
"AIR","M1","AIR_8471_V55_M","Airport Terminal E F","8471","8471","005401","1","1"
"MED","M3","MED_9301_V87_M","Wawa","9301","9301","007300","1","1"
"CHE","M1","CHE_729_V51_M","Center City Philadelphia","729","729","720005","1","1"
"LAN","M1","LAN_6543_V51_M","Gray 30th Street","6543","6543","531004","1","1"
"AIR","M1","AIR_9478_V52_M","Temple University","9478","9478","401007","0","1"
"WAR","M1","WAR_461_V50_M","Center City Philadelphia","461","461","417005","1","1"
"WAR","M1","WAR_401_V50_M","Center City Philadelphia","401","401","407005","1","1"
"WIL","M1","WIL_2530_V50_M","Center City Philadelphia","2530","2530","201005","0","1"
"WAR","M1","WAR_5442_V55_M","Glenside","5442","5442","005411","0","1"
"LAN","M3","LAN_568_V24_M","Lansdale","568","568","005531","0","1"
"TRE","M1","TRE_9748_V21_M","Temple University","9748","9748","701007","0","1"
"TRE","M1","TRE_9759_V21_M","Trenton","9759","9759","007701","1","1"
"NOR","M2","NOR_235_V27_M","Center City Philadelphia","235","235","228005","1","1"
"NOR","M1","NOR_2325_V50_M","Center City Philadelphia","2325","2325","228005","1","1"
"MED","M3","MED_9309_V87_M","Wawa","9309","9309","007300","1","1"
"PAO","M3","PAO_9557_V37_M","Malvern","9557","9557","007505","1","1"
"CHW","M3","CHW_8352_V58_M","Center City Philadelphia","8352","8352","801005","0","1"
"MED","M1","MED_2321_V50_M","Wawa","2321","2321","005300","1","1"
"CHW","M2","CHW_8328_V1_M","Center City Philadelphia","8328","8328","801005","0","1"
"AIR","M2","AIR_417_V63_M","Airport Terminal E F","417","417","005401","1","1"
"AIR","M1","AIR_407_V50_M","Airport Terminal E F","407","407","005401","1","1"
"MED","M3","MED_9304_V87_M","Temple University","9304","9304","300007","0","1"
"WAR","M1","WAR_437_V50_M","Center City Philadelphia","437","437","417005","1","1"
"MED","M3","MED_8393_V37_M","Wawa","8393","8393","005300","1","1"
"MED","M2","MED_8373_V26_M","Wawa","8373","8373","005300","1","1"
"AIR","M1","AIR_416_V50_M","Center City Philadelphia","416","416","401005","0","1"
"CHW","M3","CHW_3847_V58_M","Chestnut Hill West","3847","3847","005801","1","1"
"TRE","M2","TRE_715_V26_M","Trenton","715","715","005701","1","1"
"LAN","M2","LAN_570_V26_M","Doylestown","570","570","005538","0","1"
"PAO","M3","PAO_546_V37_M","Center City Philadelphia","546","546","505005","0","1"
"PAO","M2","PAO_578_V26_M","Center City Philadelphia","578","578","501005","0","1"
"PAO","M2","PAO_574_V26_M","Center City Philadelphia","574","574","505005","0","1"
"AIR","M1","AIR_8427_V55_M","Airport Terminal E F","8427","8427","005401","1","1"
"TRE","M1","TRE_734_V51_M","Center City Philadelphia","734","734","701005","0","1"
"MED","M2","MED_3862_V25_M","Center City Philadelphia","3862","3862","300005","0","1"
"MED","M1","MED_3226_V53_M","Center City Philadelphia","3226","3226","300005","0","1"
"WAR","M1","WAR_6481_V55_M","Gray 30th Street","6481","6481","417004","1","1"
"TRE","M1","TRE_9761_V55_M","Trenton","9761","9761","007701","1","1"
"MED","M2","MED_8377_V25_M","Wawa","8377","8377","005300","1","1"
"TRE","M1","TRE_719_V51_M","Trenton","719","719","005701","1","1"
"WIL","M1","WIL_5229_V51_M","Wilmington","5229","5229","005203","1","1"
"CHW","M2","CHW_3815_V1_M","Chestnut Hill West","3815","3815","005801","1","1"
"WIL","M1","WIL_2514_V50_M","Center City Philadelphia","2514","2514","203005","0","1"
"PAO","M1","PAO_3545_V51_M","Malvern","3545","3545","005505","1","1"
"FOX","M1","FOX_4850_V55_M","Fox Chase","4850","4850","005815","0","1"
"WAR","M3","WAR_433_V58_M","Center City Philadelphia","433","433","411005","1","1"
"MED","M1","MED_3214_V50_M","Center City Philadelphia","3214","3214","300005","0","1"
"AIR","M1","AIR_4854_V55_M","Center City Philadelphia","4854","4854","401005","0","1"
"MED","M2","MED_9305_V86_M","Wawa","9305","9305","007300","1","1"
"LAN","M3","LAN_6550_V37_M","Lansdale","6550","6550","004531","0","1"
"NOR","M1","NOR_2335_V50_M","Center City Philadelphia","2335","2335","228005","1","1"
"WAR","M2","WAR_464_V25_M","Warminster","464","464","005417","0","1"
"AIR","M2","AIR_441_V63_M","Airport Terminal E F","441","441","005401","1","1"
"CHE","M1","CHE_710_V51_M","Chestnut Hill East","710","710","005720","0","1"
"MED","M1","MED_2331_V50_M","Wawa","2331","2331","005300","1","1"
"AIR","M2","AIR_434_V25_M","Center City Philadelphia","434","434","401005","0","1"
"CHW","M1","CHW_9827_V55_M","Chestnut Hill West","9827","9827","007801","1","1"
"PAO","M1","PAO_9551_V51_M","Bryn Mawr","9551","9551","007516","1","1"
"NOR","M2","NOR_207_V26_M","Center City Philadelphia","207","207","228005","1","1"
"AIR","M3","AIR_4370_V37_M","Center City Philadelphia","4370","4370","401005","0","1"
"WIL","M1","WIL_9211_V51_M","Wilmington","9211","9211","007203","1","1"
"WAR","M3","WAR_450_V37_M","Warminster","450","450","005417","0","1"
"NOR","M2","NOR_216_V26_M","Norristown - Elm Street","216","216","005228","0","1"
"WTR","M2","WTR_3815_V1_M","Center City Philadelphia","3815","3815","327005","1","1"
"PAO","M2","PAO_539_V25_M","Malvern","539","539","005505","1","1"
"NOR","M3","NOR_6253_V37_M","Gray 30th Street","6253","6253","228004","1","1"
"FOX","M1","FOX_8455_V55_M","Center City Philadelphia","8455","8455","815005","1","1"
"LAN","M3","LAN_555_V37_M","Center City Philadelphia","555","555","538005","1","1"
"CHE","M1","CHE_6771_V55_M","Gray 30th Street","6771","6771","720004","1","1"
"CHE","M1","CHE_716_V51_M","Chestnut Hill East","716","716","005720","0","1"
"WTR","M3","WTR_8352_V58_M","West Trenton","8352","8352","005327","0","1"
"MED","M1","MED_3236_V53_M","Center City Philadelphia","3236","3236","300005","0","1"
"LAN","M2","LAN_535_V26_M","Center City Philadelphia","535","535","531005","1","1"
"CHE","M1","CHE_707_V51_M","Center City Philadelphia","707","707","720005","1","1"
"WTR","M3","WTR_3847_V58_M","Center City Philadelphia","3847","3847","327005","1","1"
"WAR","M3","WAR_449_V58_M","Center City Philadelphia","449","449","411005","1","1"
"WIL","M1","WIL_5239_V51_M","Wilmington","5239","5239","005203","1","1"
"WAR","M2","WAR_468_V25_M","Warminster","468","468","005417","0","1"
"PAO","M1","PAO_9521_V23_M","Malvern","9521","9521","007505","1","1"
"NOR","M3","NOR_231_V37_M","Center City Philadelphia","231","231","228005","1","1"
"MED","M3","MED_8389_V37_M","Wawa","8389","8389","005300","1","1"
"AIR","M3","AIR_462_V58_M","Center City Philadelphia","462","462","401005","0","1"
"WAR","M2","WAR_453_V25_M","Center City Philadelphia","453","453","417005","1","1"
"WTR","M2","WTR_8328_V1_M","West Trenton","8328","8328","005327","0","1"
"PAO","M2","PAO_9541_V26_M","Malvern","9541","9541","007505","1","1"
"WAR","M3","WAR_432_V58_M","Glenside","432","432","005411","0","1"
"WIL","M1","WIL_2518_V53_M","Center City Philadelphia","2518","2518","203005","0","1"
"NOR","M2","NOR_227_V27_M","Center City Philadelphia","227","227","228005","1","1"
"LAN","M1","LAN_6535_V51_M","Gray 30th Street","6535","6535","538004","1","1"
"MED","M1","MED_3230_V50_M","Center City Philadelphia","3230","3230","300005","0","1"
"WAR","M1","WAR_440_V50_M","Warminster","440","440","005417","0","1"
"CHE","M1","CHE_731_V51_M","Center City Philadelphia","731","731","720005","1","1"
"WAR","M2","WAR_424_V63_M","Glenside","424","424","005411","0","1"
"MED","M3","MED_8381_V37_M","Wawa","8381","8381","005300","1","1"
"AIR","M1","AIR_429_V50_M","Airport Terminal E F","429","429","005401","1","1"
"FOX","M1","FOX_4846_V55_M","Fox Chase","4846","4846","005815","0","1"
"MED","M2","MED_9308_V86_M","Temple University","9308","9308","300007","0","1"
"PAO","M1","PAO_9529_V23_M","Malvern","9529","9529","007505","1","1"
"WIL","M1","WIL_5231_V51_M","Marcus Hook","5231","5231","005205","1","1"
"CHW","M1","CHW_5805_V21_M","Chestnut Hill West","5805","5805","005801","1","1"
"LAN","M1","LAN_2500_V50_M","Doylestown","2500","2500","005538","0","1"
"TRE","M1","TRE_720_V51_M","Center City Philadelphia","720","720","701005","0","1"
"NOR","M3","NOR_216_V37_M","Norristown - Elm Street","216","216","005228","0","1"
"LAN","M2","LAN_558_V22_M","Lansdale","558","558","005531","0","1"
"LAN","M1","LAN_6532_V55_M","Doylestown","6532","6532","004538","0","1"
"AIR","M1","AIR_4574_V55_M","Center City Philadelphia","4574","4574","401005","0","1"
"NOR","M3","NOR_207_V37_M","Center City Philadelphia","207","207","228005","1","1"
"WAR","M1","WAR_425_V50_M","Center City Philadelphia","425","425","417005","1","1"
"MED","M1","MED_9351_V85_M","Media","9351","9351","007302","1","1"
"LAN","M3","LAN_535_V37_M","Center City Philadelphia","535","535","531005","1","1"
"AIR","M2","AIR_3473_V27_M","Airport Terminal E F","3473","3473","005401","1","1"
"TRE","M1","TRE_9736_V51_M","Temple University","9736","9736","701007","0","1"
"PAO","M1","PAO_9591_V55_M","Thorndale","9591","9591","007501","1","1"
"AIR","M1","AIR_473_V50_M","Airport Terminal E F","473","473","005401","1","1"
"PAO","M1","PAO_5300_V50_M","Center City Philadelphia","5300","5300","501005","0","1"
"LAN","M1","LAN_514_V5_M","Doylestown","514","514","005538","0","1"
"WTR","M3","WTR_3863_V58_M","Center City Philadelphia","3863","3863","327005","1","1"
"CHW","M1","CHW_8756_V55_M","Center City Philadelphia","8756","8756","801005","0","1"
"PAO","M1","PAO_2565_V50_M","Malvern","2565","2565","005505","1","1"
"LAN","M1","LAN_6594_V51_M","Doylestown","6594","6594","004538","0","1"
"FOX","M3","FOX_3860_V37_M","Fox Chase","3860","3860","005815","0","1"
"AIR","M2","AIR_458_V25_M","Center City Philadelphia","458","458","401005","0","1"
"MED","M1","MED_2355_V85_M","Wawa","2355","2355","005300","1","1"
"AIR","M2","AIR_9409_V63_M","Airport Terminal E F","9409","9409","007401","1","1"
"AIR","M2","AIR_403_V25_M","Airport Terminal E F","403","403","005401","1","1"
"LAN","M2","LAN_507_V86_M","Center City Philadelphia","507","507","538005","1","1"
"WIL","M1","WIL_2520_V50_M","Center City Philadelphia","2520","2520","203005","0","1"
"WTR","M1","WTR_5336_V51_M","West Trenton","5336","5336","005327","0","1"
"MED","M1","MED_9312_V52_M","Temple University","9312","9312","300007","0","1"
"TRE","M1","TRE_726_V51_M","Center City Philadelphia","726","726","701005","0","1"
"WAR","M1","WAR_6480_V55_M","Warminster","6480","6480","004417","0","1"
"AIR","M1","AIR_464_V50_M","Center City Philadelphia","464","464","401005","0","1"
"AIR","M1","AIR_404_V50_M","Center City Philadelphia","404","404","401005","0","1"
"WIL","M1","WIL_9218_V53_M","Temple University","9218","9218","201007","0","1"
"PAO","M3","PAO_562_V37_M","Center City Philadelphia","562","562","505005","0","1"
"MED","M2","MED_8387_V25_M","Wawa","8387","8387","005300","1","1"
"CHE","M3","CHE_726_V37_M","Chestnut Hill East","726","726","005720","0","1"
"MED","M1","MED_3224_V50_M","Center City Philadelphia","3224","3224","300005","0","1"
"WTR","M3","WTR_3839_V58_M","Center City Philadelphia","3839","3839","327005","1","1"
