"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"TRE","SID184625","TRE1734_20250831","Jefferson Station","0","1734","701007","1"
"TRE","SID184625","TRE1735_20250831","Trenton","1","1735","007701","1"
"NOR","SID184626","NOR203_20250902","Center City Philadelphia","1","203","228004","1"
"WIL","SID184626","WIL203_20250902","Marcus Hook","1","203","007201","1"
"WIL","SID184626","WIL206_20250902","Center City Philadelphia","0","206","201007","1"
"NOR","SID184626","NOR206_20250902","Norristown Elm Street","0","206","004228","1"
"NOR","SID184626","NOR207_20250902","Center City Philadelphia","1","207","228004","1"
"WIL","SID184626","WIL207_20250902","Wilmington","1","207","007201","1"
"WIL","SID184626","WIL220_20250902","Center City Philadelphia","0","220","201007","1"
"NOR","SID184626","NOR220_20250902","Norristown Elm Street","0","220","004228","1"
"NOR","SID184626","NOR2303_20250902","Center City Philadelphia","1","2303","228004","1"
"MED","SID184626","MED2303_20250902","Wawa","1","2303","007300","1"
"NOR","SID184626","NOR2305_20250902","Center City Philadelphia","1","2305","228004","1"
"MED","SID184626","MED2305_20250902","Wawa","1","2305","007300","1"
"NOR","SID184626","NOR2309_20250902","Center City Philadelphia","1","2309","228004","1"
"MED","SID184626","MED2309_20250902","Wawa","1","2309","007300","1"
"NOR","SID184626","NOR2311_20250902","Center City Philadelphia","1","2311","228004","1"
"MED","SID184626","MED2311_20250902","Wawa","1","2311","007300","1"
"NOR","SID184626","NOR2313_20250902","Center City Philadelphia","1","2313","228004","1"
"MED","SID184626","MED2313_20250902","Wawa","1","2313","007300","1"
"NOR","SID184626","NOR2315_20250902","Center City Philadelphia","1","2315","228004","1"
"MED","SID184626","MED2315_20250902","Wawa","1","2315","007300","1"
"NOR","SID184626","NOR2319_20250902","Center City Philadelphia","1","2319","228004","1"
"MED","SID184626","MED2319_20250902","Wawa","1","2319","007300","1"
"NOR","SID184626","NOR2321_20250902","Center City Philadelphia","1","2321","228004","1"
"MED","SID184626","MED2321_20250902","Wawa","1","2321","007300","1"
"NOR","SID184626","NOR2323_20250902","Center City Philadelphia","1","2323","228004","1"
"MED","SID184626","MED2323_20250902","Wawa","1","2323","007300","1"
