"block_id","direction_id","original_trip_id","route_id","trip_headsign","shape_id","service_id","trip_id","trip_short_name","wheelchair_accessible"
"a_5344","0","WTR_5344_V51_M","WTR","West Trenton","004327","M2_merged_815010","WTR_5344_V51_M_merged_815870","5344","1"
"b_730","0","TRE_730_V37_M","TRE","Center City Philadelphia","701004","M3_merged_815012","TRE_730_V37_M_merged_816591","730","1"
"a_842","0","FOX_842_V50_M","FOX","Fox Chase","004815","M2_merged_815010","FOX_842_V50_M_merged_815377","842","1"
"b_9418","0","AIR_9418_V50_M","AIR","Center City Philadelphia","401007","M2_merged_815013","AIR_9418_V50_M_merged_816029","9418","1"
"a_708","0","TRE_708_V51_M","TRE","Center City Philadelphia","701004","M2_merged_815010","TRE_708_V51_M_merged_815796","708","1"
"b_212","0","NOR_212_V37_M","NOR","Norristown - Elm Street","406228","M3_merged_815012","NOR_212_V37_M_merged_816680","212","1"
"a_723","1","CHE_723_V26_M","CHE","Center City Philadelphia","720007","M1_merged_815008","CHE_723_V26_M_merged_815154","723","1"
"b_224","0","WIL_224_V26_M","WIL","Center City Philadelphia","203406","M1_merged_815011","WIL_224_V26_M_merged_816354","224","1"
"b_436","0","AIR_436_V50_M","AIR","Center City Philadelphia","401406","M2_merged_815013","AIR_436_V50_M_merged_816623","436","1"
"b_9213","1","WIL_9213_V51_M","WIL","Wilminton","007203","M2_merged_815013","WIL_9213_V51_M_merged_815983","9213","1"
"a_475","1","WAR_475_V37_M","WAR","Center City Philadelphia","417007","M3_merged_815009","WAR_475_V37_M_merged_815596","475","1"
"b_5207","1","LAN_5207_V51_M","LAN","Center City Philadelphia","538007","M2_merged_815013","LAN_5207_V51_M_merged_816097","5207","1"
"a_3505","1","PAO_3505_V50_M","PAO","Malvern","007505","M2_merged_815010","PAO_3505_V50_M_merged_815184","3505","1"
"a_4336","0","WTR_4336_V37_M","WTR","West Trenton","406327","M3_merged_815009","WTR_4336_V37_M_merged_815227","4336","1"
"b_727","1","TRE_727_V26_M","TRE","Trenton","007701","M1_merged_815011","TRE_727_V26_M_merged_816124","727","1"
"a_4328","0","WTR_4328_V27_M","WTR","West Trenton","406327","M1_merged_815008","WTR_4328_V27_M_merged_815026","4328","1"
"a_3561","1","PAO_3561_V52_M","PAO","Malvern","007505","M2_merged_815010","PAO_3561_V52_M_merged_815647","3561","1"
"a_442","0","AIR_442_V25_M","AIR","Center City Philadelphia","401406","M1_merged_815008","AIR_442_V25_M_merged_815668","442","1"
"b_236","0","WIL_236_V26_M","WIL","Center City Philadelphia","203406","M1_merged_815011","WIL_236_V26_M_merged_816050","236","1"
"b_5221","1","LAN_5221_V51_M","LAN","Center City Philadelphia","538007","M2_merged_815013","LAN_5221_V51_M_merged_815956","5221","1"
"a_3433","1","WTR_3433_V37_M","WTR","Center City Philadelphia","327007","M3_merged_815009","WTR_3433_V37_M_merged_815877","3433","1"
"a_302","0","MED_302_V50_M","MED","Center City Philadelphia","301406","M2_merged_815010","MED_302_V50_M_merged_815792","302","1"
"a_413","1","WAR_413_V25_M","WAR","Center City Philadelphia","417007","M1_merged_815008","WAR_413_V25_M_merged_815112","413","1"
"a_236","0","NOR_236_V26_M","NOR","Norristown - Elm Street","406228","M1_merged_815008","NOR_236_V26_M_merged_815879","236","1"
"a_714","0","TRE_714_V26_M","TRE","Center City Philadelphia","701004","M1_merged_815008","TRE_714_V26_M_merged_815835","714","1"
"a_720","0","TRE_720_V51_M","TRE","Center City Philadelphia","701004","M2_merged_815010","TRE_720_V51_M_merged_815575","720","1"
"a_3210","0","NOR_3210_V50_M","NOR","Norristown - Elm Street","406228","M2_merged_815010","NOR_3210_V50_M_merged_815508","3210","1"
"a_706","0","TRE_706_V51_M","TRE","Center City Philadelphia","701004","M2_merged_815010","TRE_706_V51_M_merged_815437","706","1"
"b_707","1","CHE_707_V26_M","CHE","Center City Philadelphia","720007","M1_merged_815011","CHE_707_V26_M_merged_815965","707","1"
"b_5356","0","PAO_5356_V51_M","PAO","Center City Philadelphia","501004","M2_merged_815013","PAO_5356_V51_M_merged_816684","5356","1"
"a_9399","1","MED_9399_V37_M","MED","Media/Elwyn","007301","M3_merged_815009","MED_9399_V37_M_merged_815223","9399","1"
"a_2335","1","MED_2335_V50_M","MED","Elwyn","007301","M2_merged_815010","MED_2335_V50_M_merged_815703","2335","1"
