route_id,direction_id,stop_id,route_stop_sort_order
T1,0,20639,34
T1,0,20640,35
T1,0,20641,36
T1,0,20642,37
T1,0,20643,38
T1,0,20645,39
T1,0,20646,40
T1,0,31140,41
T1,0,283,42
T1,1,283,1
T1,1,20659,2
T1,1,20660,3
T1,1,20661,4
T1,1,20662,5
T1,1,20658,6
T1,1,287,7
T1,1,20664,8
T1,1,20665,9
T1,1,31488,10
T1,1,20663,11
T1,1,20668,12
T1,1,20669,13
T1,1,279,14
T1,1,351,15
T1,1,30823,16
T1,1,364,17
T1,1,21465,18
T1,1,567,19
T1,1,20670,20
T1,1,20671,21
T1,1,20672,22
T1,1,20673,23
T1,1,20674,24
T1,1,20675,25
T1,1,20677,26
T1,1,290,27
T1,1,20678,28
T1,1,20679,29
T1,1,20681,30
T1,1,20683,31
T1,1,20684,32
T1,1,20685,33
T1,1,20686,34
T1,1,20687,35
T1,1,20688,36
T1,1,20689,37
T1,1,20690,38
T1,1,20691,39
T1,1,20692,40
T1,1,20693,41
T1,1,20695,42
T1,1,31294,43
T2,0,20932,1
T2,0,20704,2
T2,0,599,3
T2,0,20859,4
T2,0,20860,5
T2,0,20861,6
T2,0,20862,7
T2,0,20863,8
T2,0,20864,9
T2,0,20865,10
T2,0,20866,11
T2,0,20867,12
T2,0,20868,13
T2,0,20869,14
T2,0,600,15
T2,0,20870,17
T2,0,20871,18
T2,0,20872,19
T2,0,20873,20
T2,0,20874,21
T2,0,20875,22
T2,0,20876,23
T2,0,20804,24
T2,0,30820,26
T2,0,21457,27
T2,0,22127,28
T2,0,672,29
T2,0,22128,30
T2,0,22129,31
T2,0,21248,32
T2,0,20731,33
T2,0,20732,34
T2,0,20642,35
T2,0,20643,36
T2,0,20645,37
T2,0,20646,38
T2,0,31140,39
T2,0,283,40
T2,1,283,1
T2,1,20659,2
T2,1,20660,3
T2,1,20661,4
T2,1,20662,5
T2,1,20658,6
T2,1,20733,7
T2,1,20734,8
T2,1,301,9
T2,1,21248,10
