pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
pw_50e1c438c01f45ac,32095_node_stairs_b_busway_01,32630,1,1,10.77,,,,,Bus | 6 Cheltenham-Ogontz,
pw_540e98394abaad78,32095_node_southbound_stairs_mezzanine_03,32095_node_stairs_platform_level_05,2,1,,,25,,,"Southbound NRG Station, B1, Walnut Locust, B2, 8th-Market, B3",
pw_54852fa0043bec95,32095_boarding_southbound_local_platform_level_01,32095_boarding_southbound_local_platform_level_03,1,1,58.93,,,,,,
pw_5834756e5490d9d2,32095_node_fare_gate_mezzanine_03,32095_node_northbound_stairs_mezzanine_03,1,1,4.89,,,,,"B1, B2, B3 Northbound Fern Rock Transit Center",
pw_5e33888e8d176aaf,32095_node_stairs_platform_level_03,32095_boarding_northbound_express_platform_level_04,1,1,8.48,,,,,"B2, B3 Northbound Fern Rock Transit Center",Exit to Street | Buses
pw_5fa313af6f3456f7,32095_boarding_northbound_express_platform_01,32095_boarding_northbound_local_platform_level_02,1,1,5.31,,,,,B1 Northbound Fern Rock Transit Center,"B2, B3 Northbound Fern Rock Transit Center"
pw_601b541af1044f3a,32095_node_a_stairs_mezzanine_01,32095_node_exit_a_mezzanine_01,1,1,2.98,,,,,,
pw_61f64616313cd305,32095_node_busway_entrance_busway_01,32095_node_central_boarding_busway_01,1,1,13.05,,,,,,
pw_626694bc3f8f4d6c,32095_boarding_southbound_express_platform_level_01,32095_boarding_southbound_local_platform_level_04,1,1,7.75,,,,,B1 Southbound NRG Station,"Southbound B2 Walnut-Locust, B3 8th-Market"
pw_63c94fe918b63750,32095_node_fare_gate_mezzanine_02,32095_node_south_mezzanine_01,1,1,13.97,,,,,,
pw_652947639717ce34,32095_entrance_stairs_d_busway_01,32095_node_d_stairs_mezzanine_01,2,1,,,22,,,"B1, B2, B3 Northbound & Southbound","Exit D Broad Street | Buses | 18, 16 North"
pw_6c72636202de0e45,32095_node_east_mezzanine_01,32095_node_fare_gate_mezzanine_01,1,1,15.9,,,,,"B1, B2, B3 Northbound & Southbound","Elevator | Exit Broad St & Olney Av SE | Buses | 6, 8, 16, 18, 22, 26, 55, 80, L"
pw_72db6ebf19a48fcb,32095_entrance_stairs_e_busway_02,32095_node_e_stairs_mezzanine_01,2,1,,,21,,,"B1, B2, B3 Northbound & Southbound",
pw_773d9513738972c8,32095_node_stairs_c_busway_01,32095_node_c_stairs_mezzanine_01,2,1,,,23,,,"B1, B2, B3 Northbound & Southbound",
pw_7760cd90565ea321,32095_node_south_boarding_busway_01,32095_node_stairs_c_busway_01,1,1,6.18,,,,,,
pw_799c7d7a25e268c8,32095_node_fare_gate_mezzanine_03,32095_node_southbound_stairs_mezzanine_01,1,1,4.07,,,,,"Southbound, B1 NRG Station, B2 Walnut Locust, B3 8th-Market",
pw_7bcea1a4221d783f,32095_node_north_mezzanine_01,32095_node_exit_gate_mezzanine_01,1,1,9.43,,,,,,
pw_7d2254b05afeec50,32095_node_northbound_elevator_platform_level_01,32095_boarding_northbound_express_platform_level_02,1,1,5.09,,,,,"B2, B3 Northbound Fern Rock Transit Center",Elevator | Exit to Street | Buses
pw_7fe4148295f5d1b0,32095_node_central_boarding_busway_01,32095_node_stairs_c_busway_01,1,1,13.23,,,,,,
pw_81b480529da04ca8,32095_entrance_stairs_g_busway_02,32095_node_g_stairs_mezzanine_02,2,1,,,18,,,"B1, B2, B3 Northbound & Southbound",
pw_8451d6f5573e0acb,32095_entrance_a_busway_01,32636,1,1,29.68,,,,,Bus | 26 Frankford Transportation Center,
pw_86b0c69caf5dbc90,32095_boarding_northbound_local_platform_level_04,32095_node_northbound_escalator_platform_level_01,1,1,5.22,,,,,Exit to Street | Buses,
pw_8e7ce1d6fae67ee2,32095_node_stairs_platform_level_06,32095_boarding_southbound_local_platform_level_01,1,1,26.15,,,,,B1 Southbound NRG Station,Exit to Street | Buses
pw_9053369f05b4acda,32095_node_southbound_stairs_platform_01,32095_boarding_southbound_local_platform_level_03,1,1,3.46,,,,,B1 Southbound NRG Station,Exit to Street | Buses
pw_92b135f84b2b800c,32095_node_stairs_platform_level_05,32095_boarding_southbound_local_platform_level_02,1,1,51.37,,,,,B1 Southbound NRG Station,Exit to Street | Buses
pw_97062e14de351b61,32095_entrance_stairs_f_busway_01,32095_node_f_stairs_mezzanine_01,2,1,,,31,,,"B1, B2, B3 Northbound & Southbound",
pw_994dc6b87bf6e3d6,32095_node_b_stairs_mezzanine_01,32095_node_east_mezzanine_01,1,1,29.05,,,,,,Exit B | Buses | 6
pw_a553456e4692d733,32095_node_northbound_stairs_mezzanine_01,32095_node_northbound_stairs_platform_01,2,1,,,25,,,,
pw_a661bc53d0e8c838,32095_node_exit_gate_mezzanine_03,32095_node_exit_gate_mezzanine_05,7,0,1.84,,,,0.92,Exit,
pw_a68b8061fef98221,32095_node_east_mezzanine_01,32095_node_d_stairs_mezzanine_01,1,1,26.8,,,,,,"B1, B2, B3 Northbound & Southbound"
pw_a77b3911bfd4ded2,32095_boarding_southbound_express_platform_level_02,32095_boarding_southbound_local_platform_level_02,1,1,4.54,,,,,B1 Southbound NRG Station,"Southbound B2 Walnut-Locust, B3 8th-Market"
pw_ab038b6c52d074f7,32095_node_e_stairs_mezzanine_01,32095_node_e_stairs_mezzanine_02,2,1,9.0,,9,,,,"Exit E Broad St & Olney Av SW | Buses | 8, 16 South, 18, 26 East"
pw_ab2e8281ca317818,32095_boarding_southbound_express_platform_level_01,32095_boarding_southbound_express_platform_level_02,1,1,64.27,,,,,,
pw_ae3f7d8de7e1b8d3,32095_node_stairs_platform_level_05,32095_boarding_southbound_express_platform_level_02,1,1,51.26,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",Exit to Street | Buses
pw_b0dacd0ef9f0bf79,32095_node_elevator_to_street_mezzanine_01,32095_node_exit_a_mezzanine_01,1,1,7.62,,,,,,
pw_b272f3b92f75e480,32095_node_exit_gate_mezzanine_05,32095_node_west_mezzanine_01,1,1,21.18,,,,,,
pw_b5e99169d70880f0,32095_boarding_northbound_express_platform_level_04,32095_boarding_northbound_express_platform_level_02,1,1,32.87,,,,,,
pw_bc963946a6cd0b02,32095_node_south_boarding_busway_01,32629,1,1,16.48,,,,,"Bus | 18 Express to Cedarbrook Plaza, Weekend PM Services Only",
pw_bdfbb4f4d9c73a24,32095_node_exit_gate_mezzanine_06,32095_node_d_stairs_mezzanine_01,1,1,9.09,,,,,,
pw_bf5b0bb229bcdc8c,32095_node_north_mezzanine_01,32095_node_exit_gate_mezzanine_03,1,1,8.07,,,,,,
pw_c11060b75cc266d1,32095_node_west_mezzanine_01,32095_node_fare_gate_mezzanine_01,1,1,13.06,,,,,"B1, B2, B3 Northbound & Southbound","Exit Broad St & Olney SW | Buses | 8, 16 South - 18, 26 East"
pw_c2d1ab58e10a90c1,32095_boarding_southbound_local_platform_level_03,32095_boarding_southbound_express_platform_level_04,1,1,6.4,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",B1 Southbound NRG Station
pw_c35aa7ecc080ce7a,32095_node_northbound_escalator_platform_level_01,32095_node_southbound_escalator_mezzanine_01,4,0,,44,,,0.58,Exit to Street | Buses,
pw_c6382b0f0fbd4ef7,32095_boarding_northbound_local_platform_level_04,32095_boarding_northbound_local_platform_level_03,1,1,68.54,,,,,,
pw_cb139bae12132e7e,32095_node_west_mezzanine_01,32095_node_e_stairs_mezzanine_02,1,1,7.05,,,,,"Exit E Broad St & Olney Av SW | Buses | 8, 16 South, 18, 26 East",
pw_cd1897f3620cf0e3,32095_node_busway_entrance_busway_01,32095_node_northwest_boarding_busway_01,1,1,3.69,,,,,,
pw_d03af6250b6cdc8f,32095_node_fare_gate_mezzanine_02,32095_node_fare_gate_mezzanine_01,7,0,8.37,,,,0.92,,
pw_d062b607dac37d7b,32095_node_stairs_b_busway_01,32095_node_b_stairs_mezzanine_01,2,1,,,22,,,"B1, B2, B3 Northbound & Southbound",
pw_d1b737fca3fedd12,32095_node_stairs_platform_level_02,32095_boarding_northbound_express_platform_01,1,1,12.4,,,,,"B2, B3 Northbound Fern Rock Transit Center",Exit to Street | Buses
pw_d342c5fb26d0543a,32095_boarding_northbound_express_platform_level_02,32095_boarding_northbound_express_platform_level_03,1,1,75.03,,,,,,
pw_d352fac152c3e16c,32095_boarding_southbound_local_platform_level_02,32095_boarding_southbound_local_platform_level_04,1,1,70.75,,,,,,
pw_d5f2da702b5899f1,32095_node_f_stairs_mezzanine_01,32095_node_exit_gate_mezzanine_05,1,1,11.98,,,,,,Exit F Broad Street & Olney Av NW
pw_d92a2ae9b83dfd84,32095_node_fare_gate_mezzanine_01,32095_node_fare_gate_mezzanine_02,6,0,8.37,,,,0.92,"B1, B2, B3 Northbound & Southbound",
pw_db73a7c38bf1a97b,32095_entrance_a_busway_01,32095_node_stairs_a_busway_01,1,1,3.15,,,,,"B1, B2, B3 Northbound & Southbound",
pw_dbd59ca3d1f4f128,32095_node_northbound_stairs_platform_01,32095_boarding_northbound_express_platform_level_03,1,1,51.05,,,,,"B2, B3 Northbound Fern Rock Transit Center",Exit to Street | Buses
pw_ddc5c0e9683023c0,32095_node_north_mezzanine_01,32095_node_northbound_stairs_mezzanine_02,1,1,14.29,,,,,"B1, B2, B3 Northbound Fern Rock Transit Center",
pw_df5fa19c02c763df,32095_node_northwest_boarding_busway_01,32631,1,1,20.0,,,,,"Bus | 80 Express Horsham, 22 Willow Grove & Warminster",
pw_e05636126e4ed23b,32095_boarding_southbound_local_platform_level_04,32095_boarding_southbound_local_platform_level_03,1,1,41.84,,,,,,
pw_e0e9d833902f72a6,32095_boarding_southbound_express_platform_level_04,32095_boarding_southbound_express_platform_level_01,1,1,47.04,,,,,,
pw_e219d4b66f121921,32095_entrance_stairs_g_busway_01,32095_node_g_stairs_mezzanine_02,2,1,,,15,,,"B1, B2, B3 Northbound & Southbound",
pw_e22a13027604202f,32095_node_elevator_a_busway_01,32095_node_elevator_to_street_mezzanine_01,5,1,,,,,0.93,,
pw_e540bd11d7ef2181,32095_node_south_mezzanine_01,32095_node_exit_gate_mezzanine_02,1,1,10.61,,,,,"Exit Broad Street | Buses | 18, 16 North",
pw_e77a4d12d15b5ef7,32095_node_central_boarding_busway_01,32630,1,1,1.86,,,,,Bus | 6 Cheltenham-Ogontz,
pw_e93a2867004b99b0,32095_node_southbound_elevator_platform_01,32095_boarding_southbound_express_platform_level_01,1,1,15.47,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",Exit to Street | Buses
pw_eb37146ac04c6841,32095_node_escalator_to_street_mezzanine_01,32095_node_escalator_a_busway_01,4,0,,20,,,0.58,,
pw_ec0db4075e463199,32095_boarding_northbound_express_platform_01,32095_boarding_northbound_express_platform_level_04,1,1,48.88,,,,,,
pw_f4ccf6a03d6b575a,32095_entrance_a_busway_01,32095_node_busway_entrance_busway_01,1,1,8.65,,,,,,
pw_f8a5a50fa8782e2c,32095_entrance_a_busway_01,373,1,1,10.97,,,,,Bus | 18 Fox Chase,
pw_faeb92e016cf33dc,32095_boarding_northbound_express_platform_level_02,32095_boarding_northbound_local_platform_level_04,1,1,8.54,,,,,B1 Northbound Fern Rock Transit Center,"B2, B3 Northbound Fern Rock Transit Center"
pw_fba5d1b77b647df6,32095_node_stairs_a_busway_01,32095_node_a_stairs_mezzanine_01,2,1,,,25,,,,
pw_fc87511b76bc3555,32095_node_southbound_stairs_mezzanine_02,32095_node_stairs_platform_level_06,2,1,,,19,,,,
pw_fda6dbcf21896e1b,32095_node_exit_gate_mezzanine_02,32095_node_exit_gate_mezzanine_06,7,0,2.4,,,,0.92,Exit,
pw_fddc72ba1324d567,32095_node_northbound_stairs_mezzanine_03,32095_node_stairs_platform_level_03,2,1,,,25,,,,
pw_ffca72edef934903,32095_node_northbound_stairs_platform_01,32095_boarding_northbound_local_platform_level_03,1,1,50.93,,,,,B1 Northbound Fern Rock Transit Center,Exit to Street | Buses
pw_0184f77572ffaaa5,33035_node_30th_street_northwest_elevator,33035_node_mezzanine_30th_street_northwest_elevator,5,1,,38,,,0.9,,
pw_0326f8344101b86f,33035_entrance_31st_street_northeast,33035_node_31st_street_northeast_stair,1,1,3.59,,,,,Market-Frankford Line | Trolleys,
pw_087f2a65baa10ebc,33035_node_mezzanine_paid_stair_market_central_southwest,33035_node_mezzanine_faregate_market_central_southwest_paid,1,1,14.34,,,,,,Exit 31st Street
pw_09cd93be1328bade,33035_node_mezzanine_rotogate_30th_street_southwest_unpaid,33035_node_mezzanine_rotogate_market_northeast_paid,6,1,3.66,,,,0.9,L,30th Street Exit
pw_0a73d514f372d805,33035_node_mezzanine_faregate_central_unpaid,33035_node_mezzanine_faregate_central_paid,6,1,2.04,,,,0.9,L Eastbound & Westbound | T Eastbound & Westbound,Exit
pw_0d6f2b4bd4083dd0,33035_node_platform_elevator_trolley_eastbound,33035_node_mezzanine_paid_elevator_trolley_eastbound,5,1,,35,,,0.9,T Eastbound,
pw_0e951717d856f72e,33035_node_mezzanine_paid_elevator_market_central_southwest,33035_node_mezzanine_faregate_market_central_southwest_paid,1,1,6.62,,,,,Exit 31st Street,Elevator to Market-Frankford Line Platform
pw_110a2089b5fc957e,33035_node_mezzanine_rotogate_market_central_southwest_unpaid,33035_node_mezzanine_unpaid_ramp_31st_street_northeast,1,1,14.51,,,,,Exit 31st St & Market St NE,L | T
pw_144753fbb70b1f87,33035_node_mezzanine_rotogate_market_southwest_paid,33035_node_mezzanine_rotogate_market_southwest_unpaid,6,1,1.96,,,,0.9,L | T,South 31st Street Exit
pw_1448a125620f651b,33035_node_platform_stair_trolley_eastbound,33035_boarding_trolley_eastbound,1,1,2.29,,,,,,
pw_147a2b0977ab8126,33035_node_mezzanine_rotogate_market_northeast_paid,33035_node_mezzanine_rotogate_market_northeast_unpaid,6,1,3.58,,,,0.9,L,Exit 30th Street | Regional Rail | Amtrak
pw_15cea6e31f394079,33035_node_mezzanine_paid_central_north,33035_node_mezzanine_paid_stair_central,1,1,11.65,,,,,L Eastbound | L Westbound,
pw_1613f0ebcf9cfbf7,33035_node_platform_elevator_market_central_southwest,33035_boarding_westbound_platform_2,1,1,22.78,,,,,L1 Westbound 69th Street Transit Center,T | Exit to Street
pw_18d7b6e79edd2f63,33035_node_platform_stair_market_northeast,33035_boarding_eastbound_platform_1,1,1,3.55,,,,,L1 Eastbound Frankford Transit Center,Exit | 30th Street & Market Street | Regional Rail | Amtrak
pw_195e7a53bad296f7,33035_node_mezzanine_unpaid_near_30th_street_northwest_escalators,33035_node_mezzanine_unpaid_market_central,1,1,18.75,,,,,L Eastbound & Westbound | T Eastbound & Westbound,SEPTA Regional Rail Lines | Amtrak | Elevator to 30th Street | Exit
pw_1afc348efafce2cf,33035_node_platform_stair_market_central_southwest,33035_boarding_eastbound_platform_2,1,1,7.6,,,,,L1 Eastbound Frankford Transit Center,T | Exit to Street
pw_1b76133482dfa052,33035_node_mezzanine_faregate_market_central_southwest_paid,33035_node_mezzanine_faregate_market_central_southwest_unpaid,6,1,2.09,,,,0.92,L Eastbound & Westbound | T Eastbound & Westbound,Exit 31st Street
pw_1ccd90d60429934f,33035_entrance_market_central_northeast,33035_node_market_central_northeast_stair,1,1,1.84,,,,,Market-Frankford Line | Trolley Lines,
pw_22e17b7717d9a40b,33035_node_mezzanine_rotogate_market_central_northeast_paid,33035_node_mezzanine_paid_central_south,1,1,30.53,,,,,,
pw_23d364cd3a1cee35,33035_node_mezzanine_paid_stair_market_northeast,33035_node_mezzanine_rotogate_market_northeast_paid,1,1,3.7,,,,,30th Street Exit | SEPTA Regional Rail Lines,
pw_274f653fec76604e,33035_node_mezzanine_unpaid_market_central_northeast,33035_node_mezzanine_unpaid_30th_street_southwest,1,1,14.34,,,,,Eastbound & Westbound L | Eastbound & Westbound T,Exit 30th Street | Regional Rail | Amtrak
pw_27df6db7912bb6bf,33035_node_31st_street_southeast_stair_mezzanine,33035_node_mezzanine_rotogate_market_southwest_unpaid,1,1,8.03,,,,,L,South 31st Street Exit
pw_2895a472662db700,33035_node_mezzanine_faregate_central_paid,33035_node_mezzanine_paid_central_north,1,1,16.29,,,,,,Exit
pw_28aa26866eae5470,33035_node_platform_elevator_trolley_eastbound,33035_boarding_trolley_eastbound,1,1,2.35,,,,,,
pw_2b2fc016105f69df,33035_node_platform_elevator_trolley_westbound,33035_boarding_trolley_westbound,1,1,4.58,,,,,,
pw_2e98f7e71b6008c9,33035_entrance_30th_street_northwest,33035_node_30th_street_northwest_escalator_north,1,1,11.57,,,,,Market-Frankford Line | Trolley Lines,
pw_2fe05fecc109a37e,33035_boarding_eastbound_platform_3,33035_boarding_eastbound_platform_2,1,1,80.41,,,,,,
pw_337b5ebbfc2a1128,33035_node_mezzanine_paid_central_north,33035_node_mezzanine_paid_elevator_trolley_westbound,1,1,17.23,,,,,T Westbound,
pw_361b40f447dc119c,33035_node_platform_stair_central,33035_boarding_westbound_platform_2,1,1,12.86,,,,,L1 Westbound 69th Street Transit Center,T | Exit to Street
pw_3c37128ff8dc6da9,33035_node_mezzanine_paid_central_north,33035_node_mezzanine_paid_market_central_southwest,1,1,29.84,,,,,,Westbound T | Amtrak | Regional Rail
pw_3c854c7220469f62,33035_node_market_central_northeast_stair,33035_node_mezzanine_market_central_northeast_stair,2,1,,,34,,,Market-Frankford Line | Trolley Lines,
pw_3d4294891c98a3cc,33035_entrance_30th_street_northwest,33035_node_south_escalator_30th_street_nw_street_level,1,1,11.11,,,,,Market-Frankford Line | Trolley Lines,
pw_3d95361501abcf3a,33035_node_mezzanine_paid_market_southwest_south,33035_node_mezzanine_paid_central_south,1,1,55.72,,,,,,
pw_3dc3523df9eaa093,33035_node_mezzanine_30th_street_northwest_stair,33035_node_30th_street_northwest_stair,2,1,,,34,,,,
pw_402e998484892c52,33035_node_30th_street_northwest_escalator_north,33035_node_mezzanine_30th_street_northwest_escalator_north,4,0,,28,,,,,
pw_40368be740128b2d,33035_node_mezzanine_paid_stair_central,33035_node_mezzanine_paid_market_central_southwest,1,1,20.32,,,,,,
pw_42d9fa66e233409e,33035_node_mezzanine_rotogate_market_central_southwest_unpaid,33035_node_31st_street_southeast_stair_mezzanine,1,1,21.76,,,,,Exit 31st St & Market St SE,L | T
pw_4911f42feee19dc2,33035_node_mezzanine_paid_stair_market_southwest,33035_node_platform_stair_market_southwest,2,1,,,21,,,L Westbound | L Eastbound,Exit to Street
pw_4aa0b867d38ccd4d,33035_node_mezzanine_30th_street_northwest_escalator_north,33035_node_mezzanine_unpaid_near_30th_street_northwest_escalators,1,1,3.24,,,,,L Eastbound & Westbound | T Eastbound & Westbound,SEPTA Regional Rail Lines | Amtrak | Elevator to 30th Street | Exit
pw_4bf846890e43bd4e,33035_node_mezzanine_rotogate_market_central_southwest_paid,33035_node_mezzanine_rotogate_market_central_southwest_unpaid,6,1,1.93,,,,0.9,L | T,Exit 31st St & Market St NE | Exit 31st St & Market St SE
pw_4c4c497f4f5b3aa1,33035_node_mezzanine_faregate_central_paid,33035_node_mezzanine_paid_elevator_market_central_northeast,1,1,16.83,,,,,L Eastbound & Westbound,Exit
pw_4d59c28d1f0e7826,33035_node_mezzanine_unpaid_31st_street_northeast,33035_node_31st_street_northeast_elevator_mezzanine,1,1,6.51,,,,,Elevator to 31st & Market Streets,Exit 31st Street
pw_4d9b5079b0266cc4,33035_node_mezzanine_unpaid_near_30th_street_northwest_escalators,33035_node_mezzanine_unpaid_market_central_northeast,1,1,21.37,,,,,L Eastbound & Westbound | T Eastbound & Westbound,SEPTA Regional Rail Lines | Amtrak | Elevator to 30th Street | Exit
pw_4fc48e753a205e5c,33035_node_mezzanine_paid_stair_market_central_southwest,33035_node_mezzanine_paid_market_southwest_south,1,1,9.25,,,,,,
pw_50d82eb72b4f393d,33035_node_mezzanine_rotogate_market_central_northeast_unpaid,33035_node_mezzanine_unpaid_market_central_northeast,1,1,5.33,,,,,,
pw_512c725aed733a7f,33035_node_mezzanine_paid_market_central_southwest,33035_node_mezzanine_paid_stair_market_central_southwest,1,1,17.83,,,,,L Westbound | L Eastbound,Eastbound & Westbound T | Amtrak Regional Rail
pw_51516b9b953830c1,33035_node_mezzanine_unpaid_31st_street_northeast,33035_node_31st_street_northeast_stair_mezzanine,1,1,4.23,,,,,,
pw_51ab8a13e3f16ca1,33035_node_mezzanine_paid_central_south,33035_node_mezzanine_paid_elevator_trolley_eastbound,1,1,9.68,,,,,T Eastbound,
pw_52708b5af199d101,33035_node_platform_elevator_market_central_southwest,33035_node_mezzanine_paid_elevator_market_central_southwest,5,1,,37,,,0.9,Elevator to Market-Frankford Line Platform,
pw_588d0bfa1cead370,33035_node_mezzanine_paid_stair_market_southwest,33035_node_mezzanine_rotogate_market_southwest_paid,1,1,4.06,,,,,,
pw_5d3ea38a27ebcf43,33035_node_31st_street_southeast_stair_street,33035_node_31st_street_southeast_stair_mezzanine,2,1,,,34,,,,
pw_5def9766cac372fc,33035_node_platform_elevator_market_central_northeast,33035_boarding_eastbound_platform_1,1,1,12.69,,,,,L1 Eastbound Frankford Transit Center,Elevator to Trolleys and Exit
pw_5e8f1ed597c5d8a9,33035_node_platform_stair_central,33035_boarding_eastbound_platform_2,1,1,13.99,,,,,L1 Eastbound Frankford Transit Center,T | Exit to Street
