service_id,date,exception_type
13,20150717,1
13,20150723,1
13,20150724,1
13,20150730,1
13,20150731,1
13,20150806,1
13,20150807,1
13,20150813,1
13,20150814,1
13,20150820,1
13,20150821,1
13,20150827,1
13,20150828,1
13,20150903,1
13,20150904,1
13,20150910,1
13,20150911,1
13,20150917,1
13,20150918,1
13,20150924,1
13,20150925,1
13,20151001,1
13,20151002,1
13,20151008,1
13,20151009,1
13,20151015,1
13,20151016,1
13,20151022,1
13,20151023,1
13,20151029,1
13,20151030,1
13,20151105,1
13,20151106,1
13,20151112,1
13,20151113,1
13,20151119,1
13,20151120,1
13,20151126,1
13,20151127,1
13,20151203,1
13,20151204,1
13,20151210,1
13,20151211,1
13,20151217,1
13,20151218,1
13,20151224,1
13,20151225,1
14,20150703,1
14,20150711,1
14,20150718,1
14,20150725,1
14,20150801,1
14,20150808,1
14,20150815,1
14,20150822,1
14,20150829,1
14,20150905,1
14,20150912,1
14,20150919,1
14,20150926,1
14,20151003,1
14,20151010,1
14,20151017,1
14,20151024,1
14,20151031,1
14,20151107,1
14,20151114,1
14,20151121,1
14,20151128,1
14,20151205,1
14,20151212,1
14,20151219,1
14,20151226,1
15,20150704,1
15,20150711,1
15,20150718,1
15,20150725,1
15,20150801,1
15,20150808,1
15,20150815,1
15,20150822,1
15,20150829,1
15,20150905,1
15,20150912,1
15,20150919,1
15,20150926,1
15,20151003,1
15,20151010,1
15,20151017,1
15,20151024,1
15,20151031,1
15,20151107,1
15,20151114,1
15,20151121,1
15,20151128,1
15,20151205,1
15,20151212,1
15,20151219,1
15,20151226,1
16,20150706,1
16,20150707,1
16,20150708,1
16,20150709,1
16,20150710,1
16,20150713,1
16,20150714,1
16,20150715,1
16,20150716,1
16,20150717,1
16,20150720,1
16,20150721,1
16,20150722,1
16,20150723,1
16,20150724,1
16,20150727,1
16,20150728,1
16,20150729,1
16,20150730,1
16,20150731,1
16,20150803,1
16,20150804,1
16,20150805,1
16,20150806,1
16,20150807,1
16,20150810,1
16,20150811,1
16,20150812,1
16,20150813,1
16,20150814,1
16,20150817,1
16,20150818,1
16,20150819,1
16,20150820,1
16,20150821,1
16,20150824,1
16,20150825,1
16,20150826,1
16,20150827,1
16,20150828,1
16,20150831,1
16,20150901,1
16,20150902,1
16,20150903,1
16,20150904,1
16,20150907,1
16,20150908,1
16,20150909,1
16,20150910,1
16,20150911,1
16,20150914,1
16,20150915,1
16,20150916,1
16,20150917,1
16,20150918,1
16,20150921,1
16,20150922,1
16,20150923,1
16,20150924,1
16,20150925,1
16,20150928,1
16,20150929,1
16,20150930,1
16,20151001,1
16,20151002,1
16,20151005,1
16,20151006,1
16,20151007,1
16,20151008,1
16,20151009,1
16,20151012,1
16,20151013,1
16,20151014,1
16,20151015,1
16,20151016,1
16,20151019,1
16,20151020,1
16,20151021,1
16,20151022,1
16,20151023,1
16,20151026,1
16,20151027,1
16,20151028,1
16,20151029,1
16,20151030,1
16,20151102,1
16,20151103,1
16,20151104,1
16,20151105,1
16,20151106,1
16,20151109,1
16,20151110,1
16,20151111,1
16,20151112,1
16,20151113,1
16,20151116,1
16,20151117,1
16,20151118,1
16,20151119,1
16,20151120,1
16,20151123,1
16,20151124,1
16,20151125,1
16,20151126,1
16,20151127,1
16,20151130,1
16,20151201,1
16,20151202,1
16,20151203,1
16,20151204,1
16,20151207,1
16,20151208,1
16,20151209,1
16,20151210,1
16,20151211,1
16,20151214,1
16,20151215,1
16,20151216,1
16,20151217,1
16,20151218,1
16,20151221,1
16,20151222,1
16,20151223,1
16,20151224,1
16,20151225,1
17,20150630,1
17,20150701,1
17,20150702,1
17,20150703,1
17,20150705,1
17,20150706,1
17,20150707,1
17,20150708,1
17,20150709,1
17,20150710,1
17,20150711,1
17,20150712,1
17,20150713,1
17,20150714,1
17,20150715,1
17,20150716,1
17,20150717,1
17,20150718,1
17,20150719,1
17,20150720,1
17,20150721,1
17,20150722,1
17,20150723,1
