route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
PAO,M4,PAO_9553_V65_M,Paoli/Thorndale,9553,9553,007501,1
AIR,M1,AIR_411_V6_M,Airport Terminal E F,411,411,007401,1
AIR,M1,AIR_434_V6_M,Center City Philadelphia,434,434,401406,0
CHW,M1,CHW_859_V6_M,Chestnut Hill West,859,859,007801,1
NOR,M2,NOR_208_V7_M,Norristown - Elm Street,208,208,406228,0
TRE,M2,TRE_9730_V7_M,Center City Philadelphia,9730,9730,701007,0
CHW,M2,CHW_861_V7_M,Chestnut Hill West,861,861,007801,1
WTR,M1,WTR_3523_V6_M,Center City Philadelphia,3523,3523,327007,1
WAR,M2,WAR_443_V7_M,Center City Philadelphia,443,443,417007,1
WAR,M1,WAR_475_V6_M,Center City Philadelphia,475,475,411007,1
AIR,M1,AIR_7453_V6_M,Airport Terminal E F,7453,7453,007401,1
AIR,M2,AIR_7437_V7_M,Airport Terminal E F,7437,7437,007401,1
NOR,M2,NOR_226_V7_M,Norristown - Elm Street,226,226,406228,0
LAN,M1,LAN_3518_V6_M,Doylestown,3518,3518,406538,0
NOR,M2,NOR_6200_V7_M,Norristown,6200,6200,004228,0
NOR,M4,NOR_6299_V65_M,Center City Philadelphia,6299,6299,223004,1
LAN,M2,LAN_3534_V7_M,Doylestown,3534,3534,406538,0
WAR,M1,WAR_423_V6_M,Center City Philadelphia,423,423,417007,1
NOR,M1,NOR_227_V6_M,Center City Philadelphia,227,227,228007,1
WTR,M2,WTR_5358_V7_M,West Trenton,5358,5358,004327,0
FOX,M2,FOX_813_V7_M,Center City Philadelphia,813,813,815007,1
PAO,M1,PAO_9572_V66_M,Center City Philadelphia,9572,9572,505007,0
MED,M2,MED_5313_V7_M,Swarthmore,5313,5313,007305,1
PAO,M1,PAO_1545_V66_M,Paoli/Thorndale,1545,1545,006501,1
PAO,M2,PAO_3563_V7_M,Malvern,3563,3563,007505,1
WTR,M2,WTR_3559_V7_M,Center City Philadelphia,3559,3559,327007,1
PAO,M1,PAO_3551_V6_M,Malvern,3551,3551,007505,1
PAO,M1,PAO_1537_V66_M,Paoli/Thorndale,1537,1537,006501,1
NOR,M1,NOR_2573_V6_M,Center City Philadelphia,2573,2573,228007,1
WTR,M2,WTR_5314_V7_M,West Trenton,5314,5314,004327,0
LAN,M1,LAN_3528_V6_M,Doylestown,3528,3528,406538,0
PAO,M2,PAO_3567_V7_M,Malvern,3567,3567,007505,1
PAO,M2,PAO_5364_V7_M,Center City Philadelphia,5364,5364,505004,0
AIR,M1,AIR_406_V6_M,Center City Philadelphia,406,406,401406,0
FOX,M2,FOX_818_V7_M,Fox Chase,818,818,004815,0
WTR,M4,WTR_6391_V65_M,Center City Philadelphia,6391,6391,323004,1
WAR,M2,WAR_439_V7_M,Center City Philadelphia,439,439,417007,1
MED,M1,MED_5317_V6_M,Swarthmore,5317,5317,007305,1
CHE,M2,CHE_7461_V7_M,Center City Philadelphia,7461,7461,720007,1
NOR,M1,NOR_205_V6_M,Center City Philadelphia,205,205,228007,1
AIR,M1,AIR_7465_V6_M,Airport Terminal E F,7465,7465,007401,1
TRE,M2,TRE_9723_V7_M,Trenton,9723,9723,007701,1
LAN,M1,LAN_5309_V6_M,Center City Philadelphia,5309,5309,538007,1
PAO,M1,PAO_3547_V6_M,Malvern,3547,3547,007505,1
TRE,M4,TRE_9747_V65_M,Trenton,9747,9747,007701,1
TRE,M2,TRE_9724_V7_M,Center City Philadelphia,9724,9724,701007,0
AIR,M1,AIR_478_V6_M,Center City Philadelphia,478,478,401406,0
AIR,M1,AIR_446_V6_M,Center City Philadelphia,446,446,401406,0
MED,M2,MED_3540_V7_M,Center City Philadelphia,3540,3540,305406,0
CHE,M1,CHE_4724_V6_M,Chestnut Hill East,4724,4724,406720,0
MED,M1,MED_5335_V6_M,Swarthmore,5335,5335,007305,1
WTR,M1,WTR_3543_V6_M,Center City Philadelphia,3543,3543,327007,1
WIL,M1,WIL_219_V6_M,Marcus Hook,219,219,007205,1
PAO,M1,PAO_3569_V6_M,Malvern,3569,3569,007505,1
NOR,M4,NOR_7250_V65_M,Norristown,7250,7250,004228,0
MED,M2,MED_3536_V7_M,Center City Philadelphia,3536,3536,305406,0
AIR,M1,AIR_442_V6_M,Center City Philadelphia,442,442,401406,0
TRE,M2,TRE_9713_V7_M,Trenton,9713,9713,007701,1
WTR,M1,WTR_5368_V66_M,West Trenton,5368,5368,004327,0
WTR,M1,WTR_5358_V66_M,West Trenton,5358,5358,004327,0
FOX,M1,FOX_814_V6_M,Fox Chase,814,814,004815,0
AIR,M2,AIR_476_V7_M,Center City Philadelphia,476,476,401406,0
AIR,M2,AIR_7461_V7_M,Airport Terminal E F,7461,7461,007401,1
TRE,M2,TRE_9711_V7_M,Trenton,9711,9711,007701,1
NOR,M2,NOR_232_V7_M,Norristown - Elm Street,232,232,406228,0
PAO,M1,PAO_3567_V6_M,Thorndale,3567,3567,007501,1
WTR,M4,WTR_6348_V65_M,West Trenton,6348,6348,004323,0
AIR,M2,AIR_499_V7_M,Airport Terminal E F,499,499,007401,1
WTR,M1,WTR_5334_V66_M,West Trenton,5334,5334,004327,0
FOX,M1,FOX_835_V6_M,Center City Philadelphia,835,835,815007,1
PAO,M4,PAO_526_V65_M,Center City Philadelphia,526,526,501004,0
AIR,M2,AIR_430_V7_M,Center City Philadelphia,430,430,401406,0
WTR,M2,WTR_5330_V7_M,West Trenton,5330,5330,004327,0
AIR,M2,AIR_7413_V7_M,Airport Terminal E F,7413,7413,007401,1
FOX,M2,FOX_843_V7_M,Center City Philadelphia,843,843,815007,1
TRE,M1,TRE_9714_V6_M,Center City Philadelphia,9714,9714,701007,0
FOX,M2,FOX_855_V7_M,Center City Philadelphia,855,855,815007,1
NOR,M1,NOR_229_V6_M,Center City Philadelphia,229,229,228007,1
AIR,M1,AIR_7437_V6_M,Airport Terminal E F,7437,7437,007401,1
LAN,M1,LAN_3522_V6_M,Doylestown,3522,3522,406538,0
AIR,M1,AIR_455_V6_M,Airport Terminal E F,455,455,007401,1
PAO,M2,PAO_3569_V7_M,Malvern,3569,3569,007505,1
TRE,M2,TRE_9719_V7_M,Trenton,9719,9719,007701,1
CHW,M1,CHW_846_V6_M,Center City Philadelphia,846,846,801004,0
AIR,M2,AIR_7433_V7_M,Airport Terminal E F,7433,7433,007401,1
MED,M2,MED_3518_V7_M,Center City Philadelphia,3518,3518,305406,0
AIR,M1,AIR_7449_V6_M,Airport Terminal E F,7449,7449,007401,1
AIR,M1,AIR_471_V6_M,Airport Terminal E F,471,471,007401,1
TRE,M1,TRE_9720_V6_M,Center City Philadelphia,9720,9720,701007,0
MED,M4,MED_3296_V65_M,Center City Philadelphia,3296,3296,305007,0
AIR,M1,AIR_4764_V6_M,Center City Philadelphia,4764,4764,401406,0
NOR,M2,NOR_223_V7_M,Center City Philadelphia,223,223,228007,1
PAO,M1,PAO_3523_V6_M,Malvern,3523,3523,007505,1
AIR,M1,AIR_7441_V6_M,Airport Terminal E F,7441,7441,007401,1
WTR,M1,WTR_5346_V66_M,West Trenton,5346,5346,004327,0
WIL,M2,WIL_213_V7_M,Wilmington,213,213,007203,1
WIL,M2,WIL_212_V7_M,Center City Philadelphia,212,212,205406,0
WAR,M1,WAR_471_V6_M,Center City Philadelphia,471,471,417007,1
WIL,M2,WIL_227_V7_M,Marcus Hook,227,227,007205,1
WAR,M1,WAR_467_V6_M,Center City Philadelphia,467,467,417007,1
FOX,M1,FOX_822_V6_M,Fox Chase,822,822,004815,0
AIR,M2,AIR_4752_V7_M,Center City Philadelphia,4752,4752,401406,0
CHE,M2,CHE_7413_V7_M,Center City Philadelphia,7413,7413,720007,1
MED,M2,MED_5339_V7_M,Swarthmore,5339,5339,007305,1
AIR,M1,AIR_422_V6_M,Center City Philadelphia,422,422,401406,0
TRE,M1,TRE_9701_V6_M,Trenton,9701,9701,007701,1
NOR,M1,NOR_220_V6_M,Norristown - Elm Street,220,220,406228,0
FOX,M2,FOX_849_V7_M,Center City Philadelphia,849,849,815007,1
FOX,M2,FOX_819_V7_M,Center City Philadelphia,819,819,815007,1
PAO,M1,PAO_5358_V66_M,Center City Philadelphia,5358,5358,505004,0
LAN,M1,LAN_3540_V6_M,Doylestown,3540,3540,406538,0
PAO,M4,PAO_9592_V65_M,Center City Philadelphia,9592,9592,516007,0
WIL,M1,WIL_9203_V6_M,Wilminton,9203,9203,007205,1
AIR,M1,AIR_466_V6_M,Center City Philadelphia,466,466,401406,0
MED,M2,MED_3520_V7_M,Center City Philadelphia,3520,3520,305406,0
TRE,M2,TRE_9734_V7_M,Center City Philadelphia,9734,9734,701007,0
TRE,M1,TRE_9725_V6_M,Trenton,9725,9725,007701,1
WAR,M1,WAR_438_V6_M,Warminster,438,438,406417,0
TRE,M2,TRE_738_V7_M,Center City Philadelphia,738,738,701004,0
MED,M1,MED_3512_V6_M,Center City Philadelphia,3512,3512,305406,0
TRE,M1,TRE_9730_V6_M,Center City Philadelphia,9730,9730,701007,0
CHW,M1,CHW_870_V6_M,Center City Philadelphia,870,870,801004,0
WIL,M2,WIL_214_V7_M,Center City Philadelphia,214,214,203406,0
PAO,M4,PAO_516_V65_M,Center City Philadelphia,516,516,505007,0
CHE,M1,CHE_7417_V6_M,Center City Philadelphia,7417,7417,720007,1
MED,M2,MED_306_V7_M,Center City Philadelphia,306,306,305406,0
NOR,M2,NOR_6235_V7_M,Center City Philadelphia,6235,6235,228004,1
MED,M1,MED_3538_V6_M,Center City Philadelphia,3538,3538,305406,0
NOR,M2,NOR_224_V7_M,Norristown - Elm Street,224,224,406228,0
LAN,M2,LAN_3516_V7_M,Doylestown,3516,3516,406538,0
FOX,M1,FOX_839_V6_M,Center City Philadelphia,839,839,815007,1
CHW,M1,CHW_835_V6_M,Chestnut Hill West,835,835,007801,1
PAO,M1,PAO_3511_V6_M,Malvern,3511,3511,007505,1
LAN,M1,LAN_5329_V6_M,Center City Philadelphia,5329,5329,538007,1
TRE,M4,TRE_7318_V65_M,Center City Philadelphia,7318,7318,701007,0
TRE,M2,TRE_9714_V7_M,Center City Philadelphia,9714,9714,701007,0
LAN,M1,LAN_5333_V6_M,Center City Philadelphia,5333,5333,538007,1
MED,M2,MED_3522_V7_M,Center City Philadelphia,3522,3522,305406,0
TRE,M1,TRE_9718_V6_M,Center City Philadelphia,9718,9718,701007,0
NOR,M3,NOR_6238_V6_M,Norristown,6238,6238,004228,0
TRE,M2,TRE_9706_V7_M,Center City Philadelphia,9706,9706,701007,0
WIL,M1,WIL_202_V6_M,Center City Philadelphia,202,202,205406,0
MED,M2,MED_5317_V7_M,Swarthmore,5317,5317,007305,1
TRE,M4,TRE_9740_V65_M,Center City Philadelphia,9740,9740,701007,0
LAN,M2,LAN_3518_V7_M,Doylestown,3518,3518,406538,0
WAR,M2,WAR_455_V7_M,Center City Philadelphia,455,455,417007,1
WIL,M1,WIL_230_V6_M,Center City Philadelphia,230,230,203406,0
FOX,M1,FOX_859_V6_M,Center City Philadelphia,859,859,815007,1
PAO,M1,PAO_3539_V6_M,Malvern,3539,3539,007505,1
CHW,M1,CHW_819_V6_M,Chestnut Hill West,819,819,007801,1
MED,M2,MED_3530_V7_M,Center City Philadelphia,3530,3530,305406,0
NOR,M1,NOR_219_V6_M,Center City Philadelphia,219,219,228007,1
LAN,M1,LAN_3510_V6_M,Doylestown,3510,3510,406538,0
TRE,M1,TRE_9711_V6_M,Trenton,9711,9711,007701,1
LAN,M2,LAN_5315_V7_M,Center City Philadelphia,5315,5315,538007,1
WAR,M2,WAR_415_V7_M,Center City Philadelphia,415,415,417007,1
LAN,M2,LAN_5307_V7_M,Center City Philadelphia,5307,5307,538007,1
WAR,M2,WAR_463_V7_M,Center City Philadelphia,463,463,417007,1
WIL,M1,WIL_213_V6_M,Wilmington,213,213,007203,1
WAR,M4,WAR_9551_V65_M,Center City Philadelphia,9551,9551,407007,1
CHE,M1,CHE_4720_V6_M,Chestnut Hill East,4720,4720,406720,0
AIR,M2,AIR_478_V7_M,Center City Philadelphia,478,478,401406,0
WTR,M1,WTR_3563_V6_M,Center City Philadelphia,3563,3563,327007,1
PAO,M4,PAO_9538_V65_M,Center City Philadelphia,9538,9538,501007,0
WAR,M2,WAR_431_V7_M,Center City Philadelphia,431,431,417007,1
AIR,M2,AIR_468_V7_M,Center City Philadelphia,468,468,401406,0
WTR,M1,WTR_5330_V66_M,West Trenton,5330,5330,004327,0
WTR,M1,WTR_3531_V6_M,Center City Philadelphia,3531,3531,327007,1
AIR,M1,AIR_450_V6_M,Center City Philadelphia,450,450,401406,0
WAR,M2,WAR_478_V7_M,Glenside,478,478,406411,0
WAR,M1,WAR_418_V6_M,Warminster,418,418,406417,0
FOX,M1,FOX_851_V6_M,Center City Philadelphia,851,851,815007,1
PAO,M1,PAO_3531_V6_M,Malvern,3531,3531,007505,1
WTR,M4,WTR_3705_V65_M,Center City Philadelphia,3705,3705,323007,1
MED,M1,MED_5311_V6_M,Swarthmore,5311,5311,007305,1
CHE,M2,CHE_738_V7_M,Chestnut Hill East,738,738,004720,0
LAN,M1,LAN_3512_V6_M,Doylestown,3512,3512,406538,0
TRE,M2,TRE_9707_V7_M,Trenton,9707,9707,007701,1
WAR,M2,WAR_446_V7_M,Warminster,446,446,406417,0
WAR,M1,WAR_403_V6_M,Center City Philadelphia,403,403,411007,1
PAO,M1,PAO_5334_V66_M,Center City Philadelphia,5334,5334,505004,0
NOR,M1,NOR_218_V6_M,Norristown - Elm Street,218,218,406228,0
WIL,M2,WIL_210_V7_M,Center City Philadelphia,210,210,203406,0
WAR,M2,WAR_414_V7_M,Warminster,414,414,406417,0
LAN,M2,LAN_3512_V7_M,Doylestown,3512,3512,406538,0
NOR,M1,NOR_200_V6_M,Norristown - Elm Street,200,200,406228,0
AIR,M2,AIR_423_V7_M,Airport Terminal E F,423,423,007401,1
TRE,M2,TRE_9726_V7_M,Center City Philadelphia,9726,9726,701007,0
PAO,M2,PAO_3547_V7_M,Malvern,3547,3547,007505,1
WIL,M2,WIL_231_V7_M,Marcus Hook,231,231,007205,1
PAO,M1,PAO_1524_V66_M,Center City Philadelphia,1524,1524,501006,0
WAR,M2,WAR_434_V7_M,Warminster,434,434,406417,0
TRE,M1,TRE_9732_V6_M,Center City Philadelphia,9732,9732,701007,0
