Routeid|ATISID|Route|DOW|Dir|SG|Begindate|Enddate|Start_TripId|End_TripId|status_id
       3|478376|     BNTNM|0|O|52|20191112|20191112|  189|  189|
       3|478377|     BNTNM|0|O|53|20191112|20191112|  190|  190|
       3|478378|     BNTNM|0|O|54|20191112|20191112|  191|  191|
       3|478379|     BNTNM|0|O|55|20191111|20191111|  192|  192|
       3|478380|     BNTNM|0|O|56|20191112|20191112|  193|  193|
       3|478381|     BNTNM|0|O|57|20191112|20191112|  194|  194|
       3|478382|     BNTNM|0|O|58|20191112|20191112|  195|  195|
       3|478383|     BNTNM|0|O|59|20191112|20191112|  196|  196|
       3|478384|     BNTNM|0|O|60|20191112|20191112|  197|  197|
       3|478385|     BNTNM|0|O|61|20191112|20191112|  198|  198|
       3|478386|     BNTNM|0|O|62|20191112|20191112|  199|  199|
       3|478387|     BNTNM|0|O|63|20191112|20191112|  200|  200|
       3|478388|     BNTNM|0|O|64|20191112|20191112|  201|  201|
       4|479769|      HBLR|S|I| 1|20190831|20190831|  202|  258|
       4|479770|      HBLR|S|I| 2|20190831|20190831|  259|  315|
       4|479771|      HBLR|S|I| 3|20190831|20190831|  316|  318|
       4|479772|      HBLR|S|I| 4|20190831|20190831|  319|  319|
       4|479787|      HBLR|S|O| 1|20190831|20190831|  320|  379|
       4|479788|      HBLR|S|O| 2|20190831|20190831|  380|  439|
       4|479774|      HBLR|U|I| 1|20190831|20190831|  440|  496|
       4|479775|      HBLR|U|I| 2|20190831|20190831|  497|  553|
       4|479776|      HBLR|U|I| 3|20190831|20190831|  554|  556|
       4|479777|      HBLR|U|I| 4|20190831|20190831|  557|  557|
       4|479790|      HBLR|U|O| 1|20190831|20190831|  558|  617|
       4|479791|      HBLR|U|O| 2|20190831|20190831|  618|  677|
       4|479779|      HBLR|W|I| 1|20190831|20190831|  678|  739|
       4|479780|      HBLR|W|I| 2|20190831|20190831|  740|  753|
       4|479781|      HBLR|W|I| 3|20190831|20190831|  754|  832|
       4|479782|      HBLR|W|I| 4|20190831|20190831|  833|  838|
       4|479783|      HBLR|W|I| 5|20190831|20190831|  839|  905|
       4|479784|      HBLR|W|I| 6|20190831|20190831|  906|  916|
       4|479785|      HBLR|W|I| 7|20190831|20190831|  917|  921|
       4|479793|      HBLR|W|O| 1|20190831|20190831|  922|  988|
       4|479794|      HBLR|W|O| 2|20190831|20190831|  989| 1056|
       4|479795|      HBLR|W|O| 3|20190831|20190831| 1057| 1068|
       4|479796|      HBLR|W|O| 4|20190831|20190831| 1069| 1069|
       4|479797|      HBLR|W|O| 5|20190831|20190831| 1070| 1082|
       4|479798|      HBLR|W|O| 6|20190831|20190831| 1083| 1086|
       4|479799|      HBLR|W|O| 7|20190831|20190831| 1087| 1094|
       4|479800|      HBLR|W|O| 8|20190831|20190831| 1095| 1095|
       4|479801|      HBLR|W|O| 9|20190831|20190831| 1096| 1100|
       4|479802|      HBLR|W|O|10|20190831|20190831| 1101| 1183|
       5|459677|      MNBN|0|I| 1|20190908|20190908| 1184| 1184|
       5|459678|      MNBN|0|I| 2|20190907|20190907| 1185| 1185|
       5|459679|      MNBN|0|I| 3|20190908|20190908| 1186| 1186|
       5|459680|      MNBN|0|I| 4|20190908|20190908| 1187| 1187|
       5|459681|      MNBN|0|I| 5|20190908|20190908| 1188| 1188|
       5|459682|      MNBN|0|I| 6|20190908|20190908| 1189| 1189|
       5|459683|      MNBN|0|I| 7|20190908|20190908| 1190| 1190|
       5|459684|      MNBN|0|I| 8|20190908|20190908| 1191| 1191|
       5|459685|      MNBN|0|I| 9|20190908|20190908| 1192| 1192|
       5|459686|      MNBN|0|I|10|20190908|20190908| 1193| 1193|
       5|459687|      MNBN|0|I|11|20190908|20190908| 1194| 1194|
       5|459688|      MNBN|0|I|12|20190908|20190908| 1195| 1195|
       5|459689|      MNBN|0|I|13|20190908|20190908| 1196| 1196|
       5|459690|      MNBN|0|I|14|20190908|20190908| 1197| 1197|
       5|459691|      MNBN|0|I|15|20190908|20190908| 1198| 1198|
       5|459692|      MNBN|0|I|16|20190908|20190908| 1199| 1199|
       5|459693|      MNBN|0|I|17|20190908|20190908| 1200| 1200|
       5|459694|      MNBN|0|I|18|20190908|20190908| 1201| 1201|
       5|459695|      MNBN|0|I|19|20190908|20190908| 1202| 1202|
       5|459696|      MNBN|0|I|20|20190908|20190908| 1203| 1203|
       5|459697|      MNBN|0|I|21|20190908|20190908| 1204| 1204|
       5|459698|      MNBN|0|I|22|20190908|20190908| 1205| 1205|
       5|459699|      MNBN|0|I|23|20190908|20190908| 1206| 1206|
       5|459700|      MNBN|0|I|24|20190908|20190908| 1207| 1207|
       5|459701|      MNBN|0|I|25|20190908|20190908| 1208| 1208|
       5|459702|      MNBN|0|I|26|20190908|20190908| 1209| 1209|
       5|459703|      MNBN|0|I|27|20190908|20190908| 1210| 1210|
       5|459704|      MNBN|0|I|28|20190908|20190908| 1211| 1211|
       5|459705|      MNBN|0|I|29|20190908|20190908| 1212| 1212|
       5|459706|      MNBN|0|I|30|20190908|20190908| 1213| 1213|
       5|459707|      MNBN|0|I|31|20190908|20190908| 1214| 1214|
       5|459708|      MNBN|0|I|32|20190908|20190908| 1215| 1215|
       5|459709|      MNBN|0|I|33|20190908|20190908| 1216| 1216|
       5|459710|      MNBN|0|I|34|20190908|20190908| 1217| 1217|
       5|459711|      MNBN|0|I|35|20190908|20190908| 1218| 1218|
       5|459712|      MNBN|0|I|36|20190908|20190908| 1219| 1219|
       5|459713|      MNBN|0|I|37|20190908|20190908| 1220| 1220|
       5|459714|      MNBN|0|I|38|20190908|20190908| 1221| 1221|
       5|459715|      MNBN|0|I|39|20190908|20190908| 1222| 1222|
       5|459716|      MNBN|0|I|40|20190908|20190908| 1223| 1223|
