from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
90005,90005,4,WAR417_20260622_SID189324_SID189324,AIR417_20260622_SID189324_SID189324
90005,90005,4,AIR4204_20260621_SID186629,NOR4204_20260621_SID186629
90005,90005,4,AIR4204_20260621_SID189896_SID189896,NOR4204_20260621_SID189896_SID189896
90005,90005,4,AIR4204_20260815_SID189412_SID189412,NOR4204_20260815_SID189412_SID189412
90005,90005,4,AIR4208_20260621_SID186629,NOR4208_20260621_SID186629
90005,90005,4,AIR4208_20260621_SID189896_SID189896,NOR4208_20260621_SID189896_SID189896
90005,90005,4,AIR4208_20260815_SID189412_SID189412,NOR4208_20260815_SID189412_SID189412
90005,90005,4,AIR420_20260622_SID186626,WAR420_20260622_SID186626
90005,90005,4,AIR420_20260622_SID189324_SID189324,WAR420_20260622_SID189324_SID189324
90005,90005,4,AIR4212_20260621_SID186629,NOR4212_20260621_SID186629
90005,90005,4,AIR4212_20260621_SID189896_SID189896,NOR4212_20260621_SID189896_SID189896
90005,90005,4,AIR4212_20260815_SID189412_SID189412,NOR4212_20260815_SID189412_SID189412
90005,90005,4,AIR4216_20260621_SID186629,NOR4216_20260621_SID186629
90005,90005,4,AIR4216_20260621_SID189896_SID189896,NOR4216_20260621_SID189896_SID189896
90005,90005,4,AIR4216_20260815_SID189412_SID189412,NOR4216_20260815_SID189412_SID189412
90005,90005,4,WAR421_20260622_SID186626,AIR421_20260622_SID186626
90005,90005,4,WAR421_20260622_SID189324_SID189324,AIR421_20260622_SID189324_SID189324
90005,90005,4,AIR4220_20260621_SID186629,NOR4220_20260621_SID186629
90005,90005,4,AIR4220_20260621_SID189896_SID189896,NOR4220_20260621_SID189896_SID189896
90005,90005,4,AIR4220_20260815_SID189412_SID189412,NOR4220_20260815_SID189412_SID189412
90005,90005,4,AIR4224_20260621_SID186629,NOR4224_20260621_SID186629
90005,90005,4,AIR4224_20260621_SID189896_SID189896,NOR4224_20260621_SID189896_SID189896
90005,90005,4,AIR4224_20260815_SID189412_SID189412,NOR4224_20260815_SID189412_SID189412
90005,90005,4,AIR4228_20260621_SID186629,NOR4228_20260621_SID186629
90005,90005,4,AIR4228_20260621_SID189896_SID189896,NOR4228_20260621_SID189896_SID189896
90005,90005,4,AIR4228_20260815_SID189412_SID189412,NOR4228_20260815_SID189412_SID189412
