route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FOX,SID189324,FOX805_20260622_SID189324_SID189324,Center City Philadelphia,FOX805,1,805,815005,1,2
CHW,SID189324,CHW805_20260622_SID189324_SID189324,Chestnut Hill West,CHW805,1,805,007801,1,2
CHW,SID189324,CHW806_20260622_SID189324_SID189324,Center City Philadelphia,CHW806,0,806,801007,1,2
FOX,SID189324,FOX806_20260622_SID189324_SID189324,Fox Chase,FOX806,0,806,004815,1,2
FOX,SID189324,FOX809_20260622_SID189324_SID189324,Center City Philadelphia,FOX809,1,809,815005,1,2
CHW,SID189324,CHW809_20260622_SID189324_SID189324,Chestnut Hill West,CHW809,1,809,007801,1,2
CHW,SID189324,CHW810_20260622_SID189324_SID189324,Center City Philadelphia,CHW810,0,810,801007,1,2
FOX,SID189324,FOX810_20260622_SID189324_SID189324,Fox Chase,FOX810,0,810,004815,1,2
FOX,SID189324,FOX811_20260622_SID189324_SID189324,Center City Philadelphia,FOX811,1,811,815005,1,2
CHW,SID189324,CHW811_20260622_SID189324_SID189324,Chestnut Hill West,CHW811,1,811,007801,1,2
CHW,SID189324,CHW814_20260622_SID189324_SID189324,Center City Philadelphia,CHW814,0,814,801007,1,2
FOX,SID189324,FOX814_20260622_SID189324_SID189324,Fox Chase,FOX814,0,814,004815,1,0
FOX,SID189324,FOX815_20260622_SID189324_SID189324,Center City Philadelphia,FOX815,1,815,815005,1,2
CHW,SID189324,CHW815_20260622_SID189324_SID189324,Chestnut Hill West,CHW815,1,815,007801,1,2
FOX,SID189324,FOX817_20260622_SID189324_SID189324,Center City Philadelphia,FOX817,1,817,815005,1,2
CHW,SID189324,CHW817_20260622_SID189324_SID189324,Chestnut Hill West,CHW817,1,817,007801,1,0
CHW,SID189324,CHW818_20260622_SID189324_SID189324,Center City Philadelphia,CHW818,0,818,801007,1,0
FOX,SID189324,FOX818_20260622_SID189324_SID189324,Fox Chase,FOX818,0,818,004815,1,0
FOX,SID189324,FOX821_20260622_SID189324_SID189324,Center City Philadelphia,FOX821,1,821,815005,1,0
CHW,SID189324,CHW821_20260622_SID189324_SID189324,Chestnut Hill West,CHW821,1,821,007801,1,0
CHW,SID189324,CHW822_20260622_SID189324_SID189324,Center City Philadelphia,CHW822,0,822,801007,1,0
FOX,SID189324,FOX822_20260622_SID189324_SID189324,Fox Chase,FOX822,0,822,004815,1,0
FOX,SID189324,FOX825_20260622_SID189324_SID189324,Center City Philadelphia,FOX825,1,825,815005,1,0
CHW,SID189324,CHW825_20260622_SID189324_SID189324,Chestnut Hill West,CHW825,1,825,007801,1,0
CHW,SID189324,CHW826_20260622_SID189324_SID189324,Center City Philadelphia,CHW826,0,826,801007,1,0
