route_id,direction_id,stop_id,route_stop_sort_order
LAN,0,90539,20
LAN,0,90532,21
LAN,0,90533,22
LAN,0,90534,23
LAN,0,90535,24
LAN,0,90536,25
LAN,0,90537,26
LAN,0,90538,27
LAN,1,90538,1
LAN,1,90537,2
LAN,1,90536,3
LAN,1,90535,4
LAN,1,90534,5
LAN,1,90533,6
LAN,1,90532,7
LAN,1,90539,8
LAN,1,90531,9
LAN,1,90530,10
LAN,1,90529,11
LAN,1,90528,12
LAN,1,90527,13
LAN,1,90526,14
LAN,1,90525,15
LAN,1,90524,16
LAN,1,90523,17
LAN,1,90411,18
LAN,1,90410,19
LAN,1,90407,20
LAN,1,90009,21
LAN,1,90008,22
LAN,1,90007,23
LAN,1,90006,24
LAN,1,90005,25
LAN,1,90004,26
LAN,1,90406,27
MED,0,90300,1
MED,0,90301,2
MED,0,90302,3
MED,0,90303,4
MED,0,90304,5
MED,0,90305,6
MED,0,90306,7
MED,0,90307,8
MED,0,90308,9
MED,0,90309,10
MED,0,90310,11
MED,0,90311,12
MED,0,90312,13
MED,0,90313,14
MED,0,90314,15
MED,0,90406,16
MED,0,90004,17
MED,0,90005,18
MED,0,90006,19
MED,0,90007,20
MED,1,90007,1
MED,1,90006,2
MED,1,90005,3
MED,1,90004,4
MED,1,90406,5
MED,1,90314,6
MED,1,90313,7
MED,1,90312,8
MED,1,90311,9
MED,1,90310,10
MED,1,90309,11
MED,1,90308,12
MED,1,90307,13
MED,1,90306,14
MED,1,90305,15
MED,1,90304,16
MED,1,90303,17
MED,1,90302,18
MED,1,90301,19
MED,1,90300,20
NOR,0,90406,0
NOR,0,90004,1
NOR,0,90005,2
NOR,0,90006,3
NOR,0,90007,4
NOR,0,90008,5
NOR,0,90218,6
NOR,0,90219,7
NOR,0,90220,8
NOR,0,90221,9
NOR,0,90222,10
NOR,0,90223,11
NOR,0,90224,12
NOR,0,90225,13
NOR,0,90226,14
NOR,0,90227,15
NOR,0,90228,16
NOR,1,90228,1
NOR,1,90227,2
NOR,1,90226,3
NOR,1,90225,4
NOR,1,90224,5
NOR,1,90223,6
NOR,1,90222,7
NOR,1,90221,8
NOR,1,90220,9
NOR,1,90219,10
NOR,1,90218,11
NOR,1,90008,12
NOR,1,90007,13
NOR,1,90006,14
NOR,1,90005,15
NOR,1,90004,16
NOR,1,90406,17
PAO,0,90501,1
PAO,0,90502,2
PAO,0,90503,3
PAO,0,90504,4
PAO,0,90505,5
PAO,0,90506,6
PAO,0,90507,7
PAO,0,90508,8
PAO,0,90509,9
PAO,0,90510,10
PAO,0,90511,11
PAO,0,90512,12
PAO,0,90513,13
PAO,0,90514,14
PAO,0,90515,15
PAO,0,90516,16
PAO,0,90517,17
PAO,0,90518,18
PAO,0,90519,19
PAO,0,90520,20
PAO,0,90521,21
PAO,0,90522,22
PAO,0,90004,23
PAO,0,90005,24
PAO,0,90006,25
PAO,0,90007,26
PAO,1,90007,1
PAO,1,90006,2
PAO,1,90005,3
PAO,1,90004,4
PAO,1,90522,5
PAO,1,90521,6
PAO,1,90520,7
PAO,1,90519,8
PAO,1,90518,9
PAO,1,90517,10
PAO,1,90516,11
PAO,1,90515,12
PAO,1,90514,13
PAO,1,90513,14
PAO,1,90512,15
PAO,1,90511,16
PAO,1,90510,17
PAO,1,90509,18
PAO,1,90508,19
PAO,1,90507,20
PAO,1,90506,21
PAO,1,90505,22
PAO,1,90504,23
PAO,1,90503,24
PAO,1,90502,25
PAO,1,90501,26
TRE,0,90701,1
TRE,0,90702,2
TRE,0,90703,3
TRE,0,90704,4
TRE,0,90705,5
TRE,0,90706,6
TRE,0,90707,7
TRE,0,90708,8
TRE,0,90709,9
TRE,0,90710,10
TRE,0,90711,11
TRE,0,90004,12
TRE,0,90005,13
TRE,0,90006,14
TRE,0,90007,15
TRE,1,90007,1
TRE,1,90006,2
TRE,1,90005,3
TRE,1,90004,4
TRE,1,90711,5
TRE,1,90710,6
TRE,1,90709,7
TRE,1,90708,8
TRE,1,90707,9
TRE,1,90706,10
TRE,1,90705,11
TRE,1,90704,12
TRE,1,90703,13
TRE,1,90702,14
TRE,1,90701,15
WAR,0,90406,0
WAR,0,90004,1
WAR,0,90005,2
WAR,0,90006,3
WAR,0,90007,4
WAR,0,90009,5
WAR,0,90407,6
WAR,0,90408,7
WAR,0,90409,8
WAR,0,90410,9
WAR,0,90411,10
WAR,0,90412,11
WAR,0,90413,12
WAR,0,90414,13
WAR,0,90415,14
WAR,0,90416,15
WAR,0,90417,16
WAR,1,90417,1
WAR,1,90416,2
WAR,1,90415,3
WAR,1,90414,4
WAR,1,90413,5
WAR,1,90412,6
WAR,1,90411,7
WAR,1,90410,8
WAR,1,90409,9
WAR,1,90408,10
WAR,1,90407,11
WAR,1,90009,12
WAR,1,90007,13
WAR,1,90006,14
WAR,1,90005,15
WAR,1,90004,16
WAR,1,90406,17
WIL,0,90201,1
WIL,0,90202,2
WIL,0,90203,3
WIL,0,90204,4
WIL,0,90205,5
WIL,0,90206,6
WIL,0,90207,7
WIL,0,90208,8
WIL,0,90209,9
WIL,0,90210,10
WIL,0,90211,11
WIL,0,90212,12
WIL,0,90213,13
WIL,0,90214,14
WIL,0,90215,15
WIL,0,90216,16
WIL,0,90217,17
WIL,0,90406,18
WIL,0,90004,19
WIL,0,90005,20
WIL,0,90006,21
WIL,0,90007,22
WIL,1,90007,1
WIL,1,90006,2
WIL,1,90005,3
WIL,1,90004,4
WIL,1,90406,5
WIL,1,90217,6
WIL,1,90216,7
WIL,1,90215,8
WIL,1,90214,9
WIL,1,90213,10
WIL,1,90212,11
WIL,1,90211,12
WIL,1,90210,13
WIL,1,90209,14
WIL,1,90208,15
WIL,1,90207,16
