route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
NOR,SID189324,NOR7284_20260622_SID189324,Norristown Elm Street,0,7284,004228,2,1,NOR7284
CHE,SID189324,CHE7419_20260622_SID189324,Center City Philadelphia,1,7419,720004,2,1,CHE7419
AIR,SID189324,AIR7419_20260622_SID189324,Airport Terminals E & F,1,7419,007401,2,1,AIR7419
CHE,SID189324,CHE7423_20260622_SID189324,Center City Philadelphia,1,7423,720004,2,1,CHE7423
AIR,SID189324,AIR7423_20260622_SID189324,Airport Terminals E & F,1,7423,007401,0,1,AIR7423
CHE,SID189324,CHE7427_20260622_SID189324,Center City Philadelphia,1,7427,720004,0,1,CHE7427
AIR,SID189324,AIR7427_20260622_SID189324,Airport Terminals E & F,1,7427,007401,0,1,AIR7427
CHE,SID189324,CHE7431_20260622_SID189324,Center City Philadelphia,1,7431,720004,0,1,CHE7431
AIR,SID189324,AIR7431_20260622_SID189324,Airport Terminals E & F,1,7431,007401,0,1,AIR7431
CHE,SID189324,CHE7435_20260622_SID189324,Center City Philadelphia,1,7435,720004,0,1,CHE7435
AIR,SID189324,AIR7435_20260622_SID189324,Airport Terminals E & F,1,7435,007401,0,1,AIR7435
CHE,SID189324,CHE7439_20260622_SID189324,Center City Philadelphia,1,7439,720004,0,1,CHE7439
AIR,SID189324,AIR7439_20260622_SID189324,Airport Terminals E & F,1,7439,007401,0,1,AIR7439
CHE,SID189324,CHE7443_20260622_SID189324,Center City Philadelphia,1,7443,720004,0,1,CHE7443
AIR,SID189324,AIR7443_20260622_SID189324,Airport Terminals E & F,1,7443,007401,0,1,AIR7443
CHE,SID189324,CHE7447_20260622_SID189324,Center City Philadelphia,1,7447,720004,0,1,CHE7447
AIR,SID189324,AIR7447_20260622_SID189324,Airport Terminals E & F,1,7447,007401,2,1,AIR7447
CHE,SID189324,CHE7451_20260622_SID189324,Center City Philadelphia,1,7451,720004,2,1,CHE7451
AIR,SID189324,AIR7451_20260622_SID189324,Airport Terminals E & F,1,7451,007401,2,1,AIR7451
CHE,SID189324,CHE7455_20260622_SID189324,Center City Philadelphia,1,7455,720004,2,1,CHE7455
