trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
3114,08:22:00,08:22:00,1,13,,0,0,
3114,08:00:00,08:00:00,10,4,,0,0,
3114,07:58:00,07:58:00,11,3,,0,0,
3114,07:57:00,07:57:00,12,2,,0,0,
3114,07:56:00,07:56:00,13,1,,0,0,
3114,08:19:00,08:19:00,2,12,,0,0,
3114,08:18:00,08:18:00,3,11,,0,0,
3114,08:15:00,08:15:00,4,10,,0,0,
3114,08:13:00,08:13:00,5,9,,0,0,
3114,08:11:00,08:11:00,6,8,,0,0,
3114,08:09:00,08:09:00,7,7,,0,0,
3114,08:06:00,08:06:00,8,6,,0,0,
3114,08:04:00,08:04:00,9,5,,0,0,
3115,08:31:00,08:31:00,1,13,,0,0,
3115,08:09:00,08:09:00,10,4,,0,0,
3115,08:07:00,08:07:00,11,3,,0,0,
3115,08:06:00,08:06:00,12,2,,0,0,
3115,08:05:00,08:05:00,13,1,,0,0,
3115,08:28:00,08:28:00,2,12,,0,0,
3115,08:27:00,08:27:00,3,11,,0,0,
3115,08:24:00,08:24:00,4,10,,0,0,
3115,08:22:00,08:22:00,5,9,,0,0,
3115,08:20:00,08:20:00,6,8,,0,0,
3115,08:18:00,08:18:00,7,7,,0,0,
3115,08:15:00,08:15:00,8,6,,0,0,
3115,08:13:00,08:13:00,9,5,,0,0,
3116,08:46:00,08:46:00,1,13,,0,0,
3116,08:24:00,08:24:00,10,4,,0,0,
3116,08:22:00,08:22:00,11,3,,0,0,
3116,08:21:00,08:21:00,12,2,,0,0,
3116,08:20:00,08:20:00,13,1,,0,0,
3116,08:43:00,08:43:00,2,12,,0,0,
3116,08:42:00,08:42:00,3,11,,0,0,
3116,08:39:00,08:39:00,4,10,,0,0,
3116,08:37:00,08:37:00,5,9,,0,0,
3116,08:35:00,08:35:00,6,8,,0,0,
3116,08:33:00,08:33:00,7,7,,0,0,
3116,08:30:00,08:30:00,8,6,,0,0,
3116,08:28:00,08:28:00,9,5,,0,0,
3117,09:01:00,09:01:00,1,13,,0,0,
3117,08:39:00,08:39:00,10,4,,0,0,
3117,08:37:00,08:37:00,11,3,,0,0,
3117,08:36:00,08:36:00,12,2,,0,0,
3117,08:35:00,08:35:00,13,1,,0,0,
3117,08:58:00,08:58:00,2,12,,0,0,
3117,08:57:00,08:57:00,3,11,,0,0,
3117,08:54:00,08:54:00,4,10,,0,0,
3117,08:52:00,08:52:00,5,9,,0,0,
3117,08:50:00,08:50:00,6,8,,0,0,
3117,08:48:00,08:48:00,7,7,,0,0,
3117,08:45:00,08:45:00,8,6,,0,0,
3117,08:43:00,08:43:00,9,5,,0,0,
3118,09:16:00,09:16:00,1,13,,0,0,
3118,08:54:00,08:54:00,10,4,,0,0,
3118,08:52:00,08:52:00,11,3,,0,0,
3118,08:51:00,08:51:00,12,2,,0,0,
3118,08:50:00,08:50:00,13,1,,0,0,
3118,09:13:00,09:13:00,2,12,,0,0,
3118,09:12:00,09:12:00,3,11,,0,0,
3118,09:09:00,09:09:00,4,10,,0,0,
3118,09:07:00,09:07:00,5,9,,0,0,
3118,09:05:00,09:05:00,6,8,,0,0,
3118,09:03:00,09:03:00,7,7,,0,0,
3118,09:00:00,09:00:00,8,6,,0,0,
3118,08:58:00,08:58:00,9,5,,0,0,
3119,09:31:00,09:31:00,1,13,,0,0,
3119,09:09:00,09:09:00,10,4,,0,0,
3119,09:07:00,09:07:00,11,3,,0,0,
3119,09:06:00,09:06:00,12,2,,0,0,
3119,09:05:00,09:05:00,13,1,,0,0,
3119,09:28:00,09:28:00,2,12,,0,0,
3119,09:27:00,09:27:00,3,11,,0,0,
3119,09:24:00,09:24:00,4,10,,0,0,
3119,09:22:00,09:22:00,5,9,,0,0,
3119,09:20:00,09:20:00,6,8,,0,0,
3119,09:18:00,09:18:00,7,7,,0,0,
3119,09:15:00,09:15:00,8,6,,0,0,
3119,09:13:00,09:13:00,9,5,,0,0,
3120,09:46:00,09:46:00,1,13,,0,0,
3120,09:24:00,09:24:00,10,4,,0,0,
3120,09:22:00,09:22:00,11,3,,0,0,
3120,09:21:00,09:21:00,12,2,,0,0,
3120,09:20:00,09:20:00,13,1,,0,0,
3120,09:43:00,09:43:00,2,12,,0,0,
3120,09:42:00,09:42:00,3,11,,0,0,
3120,09:39:00,09:39:00,4,10,,0,0,
3120,09:37:00,09:37:00,5,9,,0,0,
3120,09:35:00,09:35:00,6,8,,0,0,
3120,09:33:00,09:33:00,7,7,,0,0,
3120,09:30:00,09:30:00,8,6,,0,0,
3120,09:28:00,09:28:00,9,5,,0,0,
3121,09:58:00,09:58:00,1,13,,0,0,
3121,09:36:00,09:36:00,10,4,,0,0,
3121,09:34:00,09:34:00,11,3,,0,0,
3121,09:33:00,09:33:00,12,2,,0,0,
3121,09:32:00,09:32:00,13,1,,0,0,
3121,09:55:00,09:55:00,2,12,,0,0,
3121,09:54:00,09:54:00,3,11,,0,0,
3121,09:51:00,09:51:00,4,10,,0,0,
3121,09:49:00,09:49:00,5,9,,0,0,
3121,09:47:00,09:47:00,6,8,,0,0,
3121,09:45:00,09:45:00,7,7,,0,0,
3121,09:42:00,09:42:00,8,6,,0,0,
3121,09:40:00,09:40:00,9,5,,0,0,
3122,10:10:00,10:10:00,1,13,,0,0,
3122,09:48:00,09:48:00,10,4,,0,0,
3122,09:46:00,09:46:00,11,3,,0,0,
3122,09:45:00,09:45:00,12,2,,0,0,
3122,09:44:00,09:44:00,13,1,,0,0,
3122,10:07:00,10:07:00,2,12,,0,0,
3122,10:06:00,10:06:00,3,11,,0,0,
3122,10:03:00,10:03:00,4,10,,0,0,
3122,10:01:00,10:01:00,5,9,,0,0,
3122,09:59:00,09:59:00,6,8,,0,0,
3122,09:57:00,09:57:00,7,7,,0,0,
3122,09:54:00,09:54:00,8,6,,0,0,
3122,09:52:00,09:52:00,9,5,,0,0,
3123,10:22:00,10:22:00,1,13,,0,0,
3123,10:00:00,10:00:00,10,4,,0,0,
3123,09:58:00,09:58:00,11,3,,0,0,
3123,09:57:00,09:57:00,12,2,,0,0,
3123,09:56:00,09:56:00,13,1,,0,0,
3123,10:19:00,10:19:00,2,12,,0,0,
3123,10:18:00,10:18:00,3,11,,0,0,
3123,10:15:00,10:15:00,4,10,,0,0,
3123,10:13:00,10:13:00,5,9,,0,0,
3123,10:11:00,10:11:00,6,8,,0,0,
3123,10:09:00,10:09:00,7,7,,0,0,
3123,10:06:00,10:06:00,8,6,,0,0,
3123,10:04:00,10:04:00,9,5,,0,0,
3124,10:34:00,10:34:00,1,13,,0,0,
3124,10:12:00,10:12:00,10,4,,0,0,
3124,10:10:00,10:10:00,11,3,,0,0,
3124,10:09:00,10:09:00,12,2,,0,0,
3124,10:08:00,10:08:00,13,1,,0,0,
3124,10:31:00,10:31:00,2,12,,0,0,
3124,10:30:00,10:30:00,3,11,,0,0,
3124,10:27:00,10:27:00,4,10,,0,0,
3124,10:25:00,10:25:00,5,9,,0,0,
3124,10:23:00,10:23:00,6,8,,0,0,
3124,10:21:00,10:21:00,7,7,,0,0,
3124,10:18:00,10:18:00,8,6,,0,0,
3124,10:16:00,10:16:00,9,5,,0,0,
3125,10:46:00,10:46:00,1,13,,0,0,
3125,10:24:00,10:24:00,10,4,,0,0,
3125,10:22:00,10:22:00,11,3,,0,0,
3125,10:21:00,10:21:00,12,2,,0,0,
3125,10:20:00,10:20:00,13,1,,0,0,
3125,10:43:00,10:43:00,2,12,,0,0,
3125,10:42:00,10:42:00,3,11,,0,0,
3125,10:39:00,10:39:00,4,10,,0,0,
3125,10:37:00,10:37:00,5,9,,0,0,
3125,10:35:00,10:35:00,6,8,,0,0,
3125,10:33:00,10:33:00,7,7,,0,0,
3125,10:30:00,10:30:00,8,6,,0,0,
3125,10:28:00,10:28:00,9,5,,0,0,
3126,10:58:00,10:58:00,1,13,,0,0,
3126,10:36:00,10:36:00,10,4,,0,0,
3126,10:34:00,10:34:00,11,3,,0,0,
3126,10:33:00,10:33:00,12,2,,0,0,
3126,10:32:00,10:32:00,13,1,,0,0,
3126,10:55:00,10:55:00,2,12,,0,0,
3126,10:54:00,10:54:00,3,11,,0,0,
3126,10:51:00,10:51:00,4,10,,0,0,
3126,10:49:00,10:49:00,5,9,,0,0,
3126,10:47:00,10:47:00,6,8,,0,0,
3126,10:45:00,10:45:00,7,7,,0,0,
3126,10:42:00,10:42:00,8,6,,0,0,
3126,10:40:00,10:40:00,9,5,,0,0,
3127,11:10:00,11:10:00,1,13,,0,0,
3127,10:48:00,10:48:00,10,4,,0,0,
3127,10:46:00,10:46:00,11,3,,0,0,
3127,10:45:00,10:45:00,12,2,,0,0,
3127,10:44:00,10:44:00,13,1,,0,0,
3127,11:07:00,11:07:00,2,12,,0,0,
3127,11:06:00,11:06:00,3,11,,0,0,
3127,11:03:00,11:03:00,4,10,,0,0,
3127,11:01:00,11:01:00,5,9,,0,0,
3127,10:59:00,10:59:00,6,8,,0,0,
3127,10:57:00,10:57:00,7,7,,0,0,
3127,10:54:00,10:54:00,8,6,,0,0,
3127,10:52:00,10:52:00,9,5,,0,0,
3128,11:22:00,11:22:00,1,13,,0,0,
3128,11:00:00,11:00:00,10,4,,0,0,
3128,10:58:00,10:58:00,11,3,,0,0,
3128,10:57:00,10:57:00,12,2,,0,0,
3128,10:56:00,10:56:00,13,1,,0,0,
3128,11:19:00,11:19:00,2,12,,0,0,
3128,11:18:00,11:18:00,3,11,,0,0,
3128,11:15:00,11:15:00,4,10,,0,0,
3128,11:13:00,11:13:00,5,9,,0,0,
3128,11:11:00,11:11:00,6,8,,0,0,
3128,11:09:00,11:09:00,7,7,,0,0,
3128,11:06:00,11:06:00,8,6,,0,0,
3128,11:04:00,11:04:00,9,5,,0,0,
3129,11:34:00,11:34:00,1,13,,0,0,
3129,11:12:00,11:12:00,10,4,,0,0,
3129,11:10:00,11:10:00,11,3,,0,0,
3129,11:09:00,11:09:00,12,2,,0,0,
3129,11:08:00,11:08:00,13,1,,0,0,
3129,11:31:00,11:31:00,2,12,,0,0,
3129,11:30:00,11:30:00,3,11,,0,0,
3129,11:27:00,11:27:00,4,10,,0,0,
3129,11:25:00,11:25:00,5,9,,0,0,
3129,11:23:00,11:23:00,6,8,,0,0,
3129,11:21:00,11:21:00,7,7,,0,0,
3129,11:18:00,11:18:00,8,6,,0,0,
3129,11:16:00,11:16:00,9,5,,0,0,
3130,11:46:00,11:46:00,1,13,,0,0,
3130,11:24:00,11:24:00,10,4,,0,0,
3130,11:22:00,11:22:00,11,3,,0,0,
3130,11:21:00,11:21:00,12,2,,0,0,
3130,11:20:00,11:20:00,13,1,,0,0,
3130,11:43:00,11:43:00,2,12,,0,0,
3130,11:42:00,11:42:00,3,11,,0,0,
3130,11:39:00,11:39:00,4,10,,0,0,
3130,11:37:00,11:37:00,5,9,,0,0,
3130,11:35:00,11:35:00,6,8,,0,0,
3130,11:33:00,11:33:00,7,7,,0,0,
3130,11:30:00,11:30:00,8,6,,0,0,
3130,11:28:00,11:28:00,9,5,,0,0,
3131,11:58:00,11:58:00,1,13,,0,0,
3131,11:36:00,11:36:00,10,4,,0,0,
3131,11:34:00,11:34:00,11,3,,0,0,
3131,11:33:00,11:33:00,12,2,,0,0,
3131,11:32:00,11:32:00,13,1,,0,0,
3131,11:55:00,11:55:00,2,12,,0,0,
3131,11:54:00,11:54:00,3,11,,0,0,
3131,11:51:00,11:51:00,4,10,,0,0,
3131,11:49:00,11:49:00,5,9,,0,0,
3131,11:47:00,11:47:00,6,8,,0,0,
3131,11:45:00,11:45:00,7,7,,0,0,
3131,11:42:00,11:42:00,8,6,,0,0,
3131,11:40:00,11:40:00,9,5,,0,0,
3132,12:10:00,12:10:00,1,13,,0,0,
3132,11:48:00,11:48:00,10,4,,0,0,
3132,11:46:00,11:46:00,11,3,,0,0,
3132,11:45:00,11:45:00,12,2,,0,0,
3132,11:44:00,11:44:00,13,1,,0,0,
3132,12:07:00,12:07:00,2,12,,0,0,
3132,12:06:00,12:06:00,3,11,,0,0,
3132,12:03:00,12:03:00,4,10,,0,0,
3132,12:01:00,12:01:00,5,9,,0,0,
3132,11:59:00,11:59:00,6,8,,0,0,
3132,11:57:00,11:57:00,7,7,,0,0,
3132,11:54:00,11:54:00,8,6,,0,0,
3132,11:52:00,11:52:00,9,5,,0,0,
3133,12:22:00,12:22:00,1,13,,0,0,
3133,12:00:00,12:00:00,10,4,,0,0,
3133,11:58:00,11:58:00,11,3,,0,0,
3133,11:57:00,11:57:00,12,2,,0,0,
3133,11:56:00,11:56:00,13,1,,0,0,
3133,12:19:00,12:19:00,2,12,,0,0,
3133,12:18:00,12:18:00,3,11,,0,0,
3133,12:15:00,12:15:00,4,10,,0,0,
3133,12:13:00,12:13:00,5,9,,0,0,
3133,12:11:00,12:11:00,6,8,,0,0,
3133,12:09:00,12:09:00,7,7,,0,0,
3133,12:06:00,12:06:00,8,6,,0,0,
3133,12:04:00,12:04:00,9,5,,0,0,
3134,12:34:00,12:34:00,1,13,,0,0,
3134,12:12:00,12:12:00,10,4,,0,0,
3134,12:10:00,12:10:00,11,3,,0,0,
3134,12:09:00,12:09:00,12,2,,0,0,
3134,12:08:00,12:08:00,13,1,,0,0,
3134,12:31:00,12:31:00,2,12,,0,0,
3134,12:30:00,12:30:00,3,11,,0,0,
3134,12:27:00,12:27:00,4,10,,0,0,
3134,12:25:00,12:25:00,5,9,,0,0,
3134,12:23:00,12:23:00,6,8,,0,0,
3134,12:21:00,12:21:00,7,7,,0,0,
3134,12:18:00,12:18:00,8,6,,0,0,
3134,12:16:00,12:16:00,9,5,,0,0,
3135,12:46:00,12:46:00,1,13,,0,0,
3135,12:24:00,12:24:00,10,4,,0,0,
3135,12:22:00,12:22:00,11,3,,0,0,
3135,12:21:00,12:21:00,12,2,,0,0,
3135,12:20:00,12:20:00,13,1,,0,0,
3135,12:43:00,12:43:00,2,12,,0,0,
3135,12:42:00,12:42:00,3,11,,0,0,
3135,12:39:00,12:39:00,4,10,,0,0,
3135,12:37:00,12:37:00,5,9,,0,0,
3135,12:35:00,12:35:00,6,8,,0,0,
3135,12:33:00,12:33:00,7,7,,0,0,
3135,12:30:00,12:30:00,8,6,,0,0,
3135,12:28:00,12:28:00,9,5,,0,0,
3136,12:58:00,12:58:00,1,13,,0,0,
3136,12:36:00,12:36:00,10,4,,0,0,
3136,12:34:00,12:34:00,11,3,,0,0,
3136,12:33:00,12:33:00,12,2,,0,0,
3136,12:32:00,12:32:00,13,1,,0,0,
3136,12:55:00,12:55:00,2,12,,0,0,
3136,12:54:00,12:54:00,3,11,,0,0,
3136,12:51:00,12:51:00,4,10,,0,0,
3136,12:49:00,12:49:00,5,9,,0,0,
3136,12:47:00,12:47:00,6,8,,0,0,
3136,12:45:00,12:45:00,7,7,,0,0,
3136,12:42:00,12:42:00,8,6,,0,0,
